epoch;loss;lr;val_loss
0;0.004661541432142258;0.01;0.00438454607501626
1;0.0018982524052262306;0.01;0.006453061010688543
2;0.0008569707279093564;0.0009999999;0.0022556206677109003
3;0.0008410109439864755;0.0009999999;0.0024085307959467173
4;0.0007677834364585578;1e-04;0.0025121283251792192
5;0.0007643962162546813;1e-04;0.00231557828374207
6;0.0007615435170009732;1e-04;0.0023740925826132298
7;0.0007588932057842612;1e-04;0.0022381728049367666
8;0.0007566660642623901;1e-04;0.002186722354963422
9;0.0007544922991655767;1e-04;0.0022644465789198875
10;0.0007531789015047252;1e-04;0.0021816627122461796
11;0.0007514019380323589;1e-04;0.0022348929196596146
12;0.0007497681654058397;1e-04;0.002118440577760339
13;0.000748690334148705;1e-04;0.0021930441725999117
14;0.0007475250749848783;1e-04;0.002374607138335705
15;0.0007462475332431495;1e-04;0.0021424172446131706
16;0.0007454706355929375;1e-04;0.0022505975794047117
17;0.0007443155627697706;1e-04;0.002180214039981365
18;0.0007435649749822915;1e-04;0.0023801203351467848
19;0.0007431432022713125;1e-04;0.0023344699293375015
