Time,s_x,s_y,yaw,yaw_rate,velocity,steering_angle,slipping_angle
1729516424.3852558,4.384646892547607,-1.9432687759399414,-0.21495339274406433,1.4422221183776855,3.3162190914154053,-0.04881889373064041,0.0
1729516424.3863435,4.404688358306885,-1.9469963312149048,-0.22809503972530365,1.3911114931106567,3.327138662338257,-0.04881889373064041,0.0
1729516424.3877988,4.4835710525512695,-1.9633936882019043,-0.25620317459106445,0.7800019979476929,3.3773958683013916,0.12618111073970795,0.0
1729516424.3882794,4.566831111907959,-1.9859533309936523,-0.27170032262802124,0.7800019979476929,3.3773958683013916,0.12618111073970795,0.0
1729516424.3892543,4.648224353790283,-2.0108590126037598,-0.2939279079437256,0.7788888216018677,3.426400899887085,0.05613376200199127,0.0
1729516424.3908694,4.714531421661377,-2.030863046646118,-0.3077787458896637,0.7788888216018677,3.426400899887085,0.05613376200199127,0.0
1729516424.3925467,4.748542308807373,-2.0408759117126465,-0.3190089464187622,0.7788888216018677,3.426400899887085,0.05613376200199127,0.0
1729516424.3935907,4.840317726135254,-2.0711023807525635,-0.3246693015098572,0.6555558443069458,3.4390223026275635,0.23113375902175903,0.0
1729516424.3946898,4.865811824798584,-2.0783543586730957,-0.32377392053604126,0.6555558443069458,3.4390223026275635,0.23113375902175903,0.0
1729516424.3967657,4.958408355712891,-2.1076560020446777,-0.32129475474357605,0.0011114721419289708,3.4450604915618896,0.28491222858428955,0.0
1729516424.402686,5.010855197906494,-2.1234469413757324,-0.32054978609085083,0.0011114721419289708,3.4450604915618896,0.28491222858428955,0.0
1729516424.409572,5.05190896987915,-2.1356916427612305,-0.3161414861679077,-0.07777740061283112,3.443645477294922,0.28491222858428955,0.0
1729516424.4121892,5.090795993804932,-2.148411989212036,-0.3129071593284607,-0.3366655707359314,3.4491074085235596,0.28582921624183655,0.0
1729516424.4196472,5.1673479080200195,-2.171902656555176,-0.29040583968162537,-0.3366655707359314,3.4491074085235596,0.28582921624183655,0.0
1729516424.4660034,5.190203666687012,-2.1778197288513184,-0.2782549560070038,-1.1144435405731201,3.440819263458252,0.2838805913925171,0.0
1729516424.4660335,5.291079521179199,-2.205169439315796,-0.23963366448879242,-1.1144435405731201,3.440819263458252,0.2838805913925171,0.0
1729516424.478175,5.336983680725098,-2.2163851261138916,-0.2073919177055359,-1.1144435405731201,3.440819263458252,0.2838805913925171,0.0
1729516424.4956336,5.406332015991211,-2.2350590229034424,-0.17190349102020264,-1.664443850517273,3.4045488834381104,0.45888060331344604,0.0
1729516424.515804,5.439092636108398,-2.2407467365264893,-0.15523378551006317,-1.664443850517273,3.4045488834381104,0.45888060331344604,0.0
1729516424.5352113,5.5419511795043945,-2.254303455352783,-0.10351010411977768,-1.7633334398269653,3.4195117950439453,0.2838805913925171,0.0
1729516424.572893,5.5787882804870605,-2.2581303119659424,-0.08599723130464554,-1.7633334398269653,3.4195117950439453,0.2838805913925171,0.0
1729516424.6103916,5.645992755889893,-2.263256311416626,-0.03218380734324455,-1.8677775859832764,3.3870952129364014,0.2838805913925171,0.0
1729516424.6104367,5.676513195037842,-2.2705018520355225,0.006698597688227892,-1.8677775859832764,3.3870952129364014,0.3496025800704956,0.0
1729516424.615982,5.725004196166992,-2.2722840309143066,0.02754436619579792,-2.2044436931610107,3.309267520904541,0.3496025800704956,0.0
1729516424.6384294,5.813329219818115,-2.268414258956909,0.09409970045089722,-2.2044436931610107,3.309267520904541,0.34170231223106384,0.0
1729516424.6561193,5.853461742401123,-2.2607429027557373,0.11682851612567902,-2.363333225250244,3.241787910461426,0.34170231223106384,0.0
1729516424.6750386,5.928421974182129,-2.2480833530426025,0.18336232006549835,-2.363333225250244,3.241787910461426,0.34170231223106384,0.0
1729516424.6989853,5.979357719421387,-2.23813533782959,0.22800548374652863,-2.363333225250244,3.241787910461426,0.3462483584880829,0.0
1729516424.714932,6.044239044189453,-2.2208287715911865,0.2759338617324829,-2.39111065864563,3.2539117336273193,0.3462483584880829,0.0
1729516424.7433243,6.094534873962402,-2.206634759902954,0.3224917948246002,-2.39111065864563,3.2539117336273193,0.34054791927337646,0.0
1729516424.758578,6.137972354888916,-2.1923303604125977,0.3447870910167694,-2.4344444274902344,3.228309154510498,0.34054791927337646,0.0
1729516424.7788823,6.215779781341553,-2.160163640975952,0.4147890508174896,-2.4344444274902344,3.228309154510498,0.34054791927337646,0.0
1729516424.7971163,6.26015567779541,-2.1378066539764404,0.4619905948638916,-2.4488892555236816,3.1599626541137695,0.38206520676612854,0.0
1729516424.8152363,6.309360027313232,-2.1165788173675537,0.48478707671165466,-2.4488887786865234,3.16192626953125,0.38206520676612854,0.0
1729516424.8392072,6.362740993499756,-2.08894419670105,0.5544756650924683,-2.4488887786865234,3.16192626953125,0.36412549018859863,0.0
1729516424.8624637,6.428624153137207,-2.043832540512085,0.6015655994415283,-2.435555934906006,3.131272077560425,0.36412549018859863,0.0
1729516424.8764005,6.465300559997559,-2.016526699066162,0.6464731693267822,-2.435555934906006,3.131272077560425,0.36412549018859863,0.0
1729516424.9133637,6.505454063415527,-1.9874480962753296,0.6910777688026428,-2.426666498184204,3.1034514904022217,0.36006686091423035,0.0
1729516424.919669,6.562352180480957,-1.9378918409347534,0.7365030646324158,-2.4166665077209473,3.085416316986084,0.36006686091423035,0.0
1729516424.9355114,6.601398468017578,-1.9024884700775146,0.759822428226471,-2.4166665077209473,3.085416316986084,0.3234684467315674,0.0
1729516424.9586294,6.634898662567139,-1.8645373582839966,0.8273078203201294,-2.402222156524658,3.065364122390747,0.3234684467315674,0.0
