Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1729516424.3685088,17477,1729516423,736894743,imu,-0.03540103195897428,-0.0032349218859062706,0.04034496918083103,-0.9985532462910677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2011111111111111,-0.21555555555555556,-1.6422222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,5.84,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3784032,17478,1729516423,747494700,imu,-0.034607836848754826,-0.0017700657294777602,0.04779177469589953,-0.9982560346761644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13777777777777778,-0.3611111111111111,-1.5522222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,3.45,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.378496,17479,1729516423,764221136,imu,-0.032227456574135414,-0.0024414739828890466,0.062440697112387374,-0.9975252325588922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20333333333333334,0.1322222222222222,-1.5611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.53,-1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3793764,17480,1729516423,772075503,imu,-0.03192179698835063,-0.003112832975919469,0.07013029586924452,-0.9970220914047947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666667,0.07777777777777778,-1.6288888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.09,-2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.379452,17481,1729516423,781386841,imu,-0.03192179698835063,-0.003112832975919469,0.07013029586924452,-0.9970220914047947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666667,0.07777777777777778,-1.6288888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,1.01,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.379517,17482,1729516423,790674915,imu,-0.032410255060689945,-0.002929740570457848,0.07806537895032474,-0.996416975265091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11222222222222222,-0.08666666666666667,-1.6644444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.49,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3795853,17483,1729516423,803071749,imu,-0.03265421775411638,-0.00354008342007243,0.09423946207916951,-0.9950075847244957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.023333333333333334,-1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64,1.59,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3797197,17484,1729516423,814119677,imu,-0.031860238927180706,-0.0039672711307792066,0.10266076987647117,-0.9941981453732692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1622222222222222,0.013333333333333334,-1.7877777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,1.45,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3797817,17485,1729516423,822056828,imu,-0.0305780898019341,-0.004455490130820737,0.11163138971604286,-0.9932691286161189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25555555555555554,0.02,-1.9033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,-1.27,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3798401,17486,1729516423,830999331,imu,-0.0305780898019341,-0.004455490130820737,0.11163138971604286,-0.9932691286161189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25555555555555554,0.02,-1.9033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.17,-4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
