s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
6.797373,9.138620,5.535152,0.914404,0.257056,4.862509,0.807043,1.301081,0.760909
6.897334,9.058651,5.595141,0.939945,0.253973,4.879071,0.834760,1.255354,0.801720
6.997295,8.977195,5.653072,0.965210,0.251724,4.896144,0.841942,1.218528,0.840224
7.097257,8.894301,5.708940,0.990278,0.249839,4.913303,0.840709,1.166287,0.886206
7.197218,8.810047,5.762714,1.015158,0.247982,4.930378,0.839532,1.112102,0.923154
7.297179,8.724475,5.814390,1.039860,0.246233,4.947369,0.836379,1.065784,0.954412
7.397141,8.637666,5.863939,1.064390,0.244605,4.964240,0.831034,1.029458,0.992556
7.497102,8.549662,5.911355,1.088768,0.243137,4.980946,0.822580,1.004208,1.036825
7.597063,8.460540,5.956615,1.113008,0.241928,4.997426,0.808590,0.987206,1.082052
7.697025,8.370343,5.999709,1.137141,0.240914,5.013574,0.793046,0.964713,1.125208
7.796986,8.279142,6.040615,1.161177,0.240020,5.029361,0.776006,0.933956,1.155628
7.896948,8.186978,6.079325,1.185131,0.239244,5.044761,0.757100,0.895310,1.173287
7.996909,8.093921,6.115817,1.209012,0.238608,5.059741,0.735789,0.858938,1.196754
8.096870,8.000014,6.150082,1.232840,0.238146,5.074256,0.711221,0.824835,1.213154
8.196832,7.905322,6.182100,1.256629,0.237853,5.088248,0.683665,0.781360,1.224837
8.296793,7.809892,6.211858,1.280398,0.237715,5.101661,0.653484,0.731601,1.242148
8.396754,7.713787,6.239340,1.304144,0.237265,5.114450,0.633013,0.695034,1.264848
8.496716,7.617054,6.264535,1.327832,0.236702,5.126807,0.616634,0.673823,1.290080
8.596677,7.519755,6.287435,1.351467,0.236163,5.138816,0.600571,0.669438,1.313014
8.696638,7.421938,6.308031,1.375052,0.235744,5.150485,-0.019838,0.666546,1.333641
8.796600,7.323665,6.326317,1.398600,0.235390,5.150100,-0.795466,0.648272,1.351952
8.896561,7.224989,6.342286,1.422116,0.235127,5.134637,-0.840110,0.639090,1.352254
8.996522,7.125966,6.355930,1.445612,0.234997,5.118256,-0.883285,0.647767,1.346998
9.096484,7.026649,6.367245,1.469101,0.234987,5.100975,-0.925571,0.657437,1.346804
9.196445,6.927094,6.376224,1.492601,0.235275,5.082805,-0.962085,0.648453,1.351671
9.296407,6.827355,6.382860,1.516145,0.235803,5.063849,-0.994186,0.641816,1.358307
9.396368,6.727487,6.387142,1.539749,0.236482,5.044185,-1.024127,0.637533,1.362590
9.496329,6.627546,6.389063,1.563428,0.237302,5.023849,-1.052247,0.635614,1.364511
9.596291,6.527588,6.388612,1.587196,0.238261,5.002868,-1.078416,0.636065,1.364060
9.696252,6.427669,6.385781,1.611066,0.239362,4.981274,-1.105811,0.638896,1.361229
9.796213,6.327846,6.380560,1.635055,0.240620,4.959034,-1.131824,0.644114,1.356009
9.896175,6.228178,6.372940,1.659177,0.242037,4.936166,-1.155944,0.651729,1.348390
9.996136,6.128723,6.362911,1.683449,0.243630,4.912702,-1.177713,0.661749,1.319719
10.096097,6.029543,6.350462,1.707889,0.245388,4.888679,-1.197493,0.674184,1.289509
10.196059,5.930697,6.335585,1.732515,0.247351,4.864132,-1.214327,0.689044,1.264088
10.296020,5.832250,6.318268,1.757347,0.249511,4.839112,-1.228402,0.706342,1.243747
10.395982,5.734264,6.298502,1.782403,0.251849,4.813670,-1.240182,0.726089,1.223966
10.495943,5.636808,6.276275,1.807703,0.254370,4.787847,-1.249563,0.755411,1.201724
10.595904,5.539948,6.251577,1.833263,0.257062,4.761687,-1.255650,0.798527,1.177015
10.695866,5.443756,6.224399,1.859102,0.259933,4.735254,-1.245693,0.850347,1.149834
10.795827,5.348301,6.194730,1.885236,0.262996,4.708884,-1.231983,0.879932,1.120178
10.895788,5.253660,6.162563,1.911688,0.266269,4.682658,-1.215021,0.912036,1.088050
10.995750,5.159908,6.127888,1.938476,0.269727,4.656649,-1.194233,0.946679,1.053457
11.095711,5.067126,6.090698,1.965619,0.273392,4.630942,-1.170056,0.983883,1.016416
11.195672,4.975393,6.050986,1.993139,0.277241,4.605617,-1.141573,1.023670,0.976952
11.295634,4.884798,6.008748,2.021054,0.281311,4.580773,-1.109983,1.066064,0.935107
11.395595,4.795425,5.963978,2.049386,0.285541,4.556486,-1.074024,1.111091,0.890698
11.495557,4.707367,5.916677,2.078148,0.289981,4.532863,-1.033865,1.158774,0.853004
11.595518,4.620716,5.866843,2.107366,0.294616,4.510006,-1.000622,1.208429,0.822935
11.695479,4.535573,5.814480,2.137057,0.299484,4.487773,-0.975730,1.246495,0.799092
11.795441,4.452032,5.759590,2.167243,0.304413,4.465986,-0.947016,1.210839,0.764997
11.895402,4.370203,5.702185,2.197925,0.309525,4.444739,-0.908711,1.179572,0.736603
11.995363,4.290186,5.642274,2.229139,0.315076,4.424255,-0.860089,1.156980,0.695518
12.095325,4.212099,5.579875,2.260930,0.321067,4.404779,-0.782988,1.108893,0.663939
12.195286,4.136052,5.514999,2.293365,0.328322,4.386974,-0.678215,1.063458,0.643240
12.295247,4.062179,5.447666,2.326599,0.336693,4.371493,-0.552868,1.028891,0.601537
12.395209,3.990609,5.377881,2.360698,0.345709,4.358833,-0.402578,1.006432,0.561222
12.495170,3.921498,5.305668,2.395738,0.355460,4.349590,-0.219938,0.983515,0.533328
12.595131,3.854990,5.231039,2.431793,0.366150,4.344533,-0.072911,0.959538,0.519794
12.695093,3.791265,5.154033,2.468974,0.377881,4.342855,-0.072855,0.942880,0.510397
12.795054,3.730484,5.074672,2.507028,0.378290,4.341178,-0.072855,0.933748,0.497248
12.895016,3.672750,4.993079,2.544420,0.369971,4.339500,0.021855,0.922783,0.491838
12.994977,3.618066,4.909416,2.580468,0.342936,4.340003,0.529079,0.925865,0.489503
13.094938,3.566276,4.823928,2.612645,0.300877,4.352172,1.280241,0.917740,0.498372
13.194900,3.517083,4.736928,2.640568,0.257077,4.381478,2.021897,0.918609,0.523608
13.294861,3.470134,4.648682,2.664000,0.211754,4.427367,2.771621,0.932804,0.563385
13.394822,3.425069,4.559472,2.682906,0.166618,4.489508,3.516936,0.950709,0.608512
13.494784,3.381489,4.469509,2.697311,0.121601,4.567144,-3.889692,0.969327,0.657050
13.594745,3.339012,4.379036,2.707216,0.076570,4.481201,-5.471307,0.995263,0.715382
13.694706,3.297221,4.288225,2.712619,0.031565,4.357445,-6.512893,1.007462,0.781647
13.794668,3.255724,4.197299,2.713523,-0.013591,4.205383,-6.243257,1.027990,0.854274
13.894629,3.214096,4.106412,2.709904,-0.058765,4.054267,-5.583900,1.040924,0.932070
13.994591,3.171944,4.015790,2.701767,-0.104294,3.914171,-4.986715,1.051101,1.014067
14.094552,3.128840,3.925593,2.689055,-0.149980,3.784676,-4.502023,1.030935,1.094281
14.194513,3.084399,3.836073,2.671776,-0.196104,3.663839,-4.093087,1.016093,1.173985
14.294475,3.038202,3.747421,2.649847,-0.242533,3.550411,-3.711870,0.998686,1.257656
14.394436,2.989881,3.659938,2.623276,-0.289634,3.444318,-3.355022,0.972439,1.344708
14.494397,2.939037,3.573871,2.591933,-0.337373,3.345532,-3.037425,0.942703,1.434718
14.594359,2.885330,3.489583,2.555833,-0.385259,3.253511,-2.774764,0.916025,1.494351
14.694320,2.828408,3.407412,2.514887,-0.433948,3.167112,-2.530604,0.871154,1.476517
14.794281,2.767985,3.327799,2.469049,-0.483929,3.086207,-2.293636,0.830624,1.462960
14.894243,2.703781,3.251199,2.418086,-0.535814,3.011000,-2.088156,0.795930,1.454201
14.994204,2.635559,3.178138,2.361912,-0.588436,2.940859,-1.870800,0.763332,1.450779
15.094166,2.563169,3.109226,2.300314,-0.644491,2.876567,-1.650338,0.720285,1.453239
15.194127,2.486461,3.045095,2.232987,-0.702003,2.818634,-1.391707,0.680709,1.420751
15.294088,2.405474,2.986530,2.159766,-0.763888,2.768838,-1.068945,0.647327,1.362675
15.394050,2.320224,2.934300,2.080083,-0.830538,2.729974,-0.615772,0.620683,1.310384
15.494011,2.230956,2.889342,1.993337,-0.906342,2.707332,-0.300124,0.601186,1.265146
15.593972,2.137972,2.852642,1.899161,-0.956977,2.696228,-0.295579,0.588926,1.228303
15.693934,2.041867,2.824956,1.803312,-0.962261,2.685248,-0.253265,0.577649,1.200553
15.793895,1.943632,2.806663,1.706177,-0.978175,2.675803,-0.227581,0.560813,1.182236
15.893856,1.843951,2.798039,1.607867,-0.988011,2.667287,-0.145643,0.539039,1.173609
15.993818,1.744197,2.799289,1.508383,-1.003481,2.661824,-0.105012,0.525512,1.174855
16.093779,1.644820,2.810540,1.407582,-1.012129,2.657877,-0.053097,0.517727,1.186098
