epoch;loss;lr;val_loss
0;0.006839741952717304;0.01;0.00413664523512125
1;0.004226971417665482;0.01;0.004095593933016062
2;0.001102461013942957;0.0031599998;0.0008787563419900835
3;0.0008434245246462524;0.0031599998;0.0009544615750201046
4;0.0005605522310361266;0.00099856;0.0005180120351724327
5;0.0005436685169115663;0.00099856;0.0005275167641229928
6;0.00045760118518956006;0.00031554495;0.00041946640703827143
7;0.00042945719906128943;9.9712204e-05;0.00039635313441976905
8;0.0004262012371327728;9.9712204e-05;0.00039189402014017105
9;0.00041460685315541923;3.150906e-05;0.00038722503813914955
10;0.0004108599678147584;1e-05;0.00038297209539450705
11;0.0004102512320969254;1e-05;0.00038399413460865617
12;0.0004095620533917099;1e-05;0.0003822940634563565
13;0.0004092523886356503;1e-05;0.00038288807263597846
14;0.00040869921213015914;1e-05;0.0003802730643656105
15;0.0004081922525074333;1e-05;0.0003814190567936748
16;0.00040773962973617017;1e-05;0.0003819897538051009
17;0.0004073604941368103;1e-05;0.0003783089341595769
18;0.00040682085091248155;1e-05;0.0003787311725318432
19;0.0004066495457664132;1e-05;0.00037684710696339607
20;0.0004056587640661746;1e-05;0.0003791100753005594
21;0.0004054357414133847;1e-05;0.00037596269976347685
22;0.0004047807597089559;1e-05;0.00037785424501635134
23;0.00040467403596267104;1e-05;0.0003751554759219289
24;0.00040395211544819176;1e-05;0.00037449420779012144
25;0.00040380519931204617;1e-05;0.00037520131445489824
26;0.00040335190715268254;1e-05;0.0003742514527402818
27;0.0004025515809189528;1e-05;0.00037558504845947027
28;0.00040235239430330694;1e-05;0.0003747226728592068
29;0.0004017538158223033;1e-05;0.0003723554837051779
