s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
6.597856,6.864162,-0.635432,-1.149271,0.007077,8.137078,4.641688,1.272543,0.458971
6.697823,6.955364,-0.594498,-1.148588,0.006588,8.193904,4.608687,1.259088,0.461812
6.797791,7.046540,-0.553505,-1.147954,0.006100,8.249940,4.576122,1.253420,0.475210
6.897759,7.137691,-0.512455,-1.147366,0.005668,8.305205,4.543980,1.252078,0.472043
6.997726,7.228819,-0.471355,-1.146821,0.005239,8.359721,4.512251,1.247496,0.471441
7.097694,7.319924,-0.430206,-1.146318,0.004828,8.413506,4.480924,1.244525,0.474996
7.197661,7.411011,-0.389014,-1.145856,0.004418,8.466580,4.449990,1.241483,0.475256
7.297629,7.502078,-0.347781,-1.145435,0.004007,8.518961,4.419439,1.237947,0.477286
7.397596,7.593130,-0.306512,-1.145054,0.003597,8.570665,4.389261,1.231675,0.485538
7.497564,7.684166,-0.265210,-1.144715,0.003187,8.621709,4.359449,1.214903,0.488281
7.597531,7.775190,-0.223879,-1.144417,0.002776,8.672109,4.329992,1.206178,0.474903
7.697499,7.866202,-0.182522,-1.144160,0.002366,8.721880,4.300884,1.205680,0.463762
7.797466,7.957204,-0.141145,-1.143944,0.001955,8.771037,4.272117,1.213421,0.473948
7.897434,8.048198,-0.099749,-1.143769,0.001545,8.819593,4.243682,1.208280,0.486230
7.997401,8.139185,-0.058339,-1.143635,0.001134,8.867564,4.215573,1.201965,0.474105
8.097369,8.230168,-0.016919,-1.143543,0.000724,8.914961,4.187782,1.202893,0.469511
8.197336,8.321148,0.024507,-1.143491,0.000314,8.961797,4.160303,1.190116,0.485901
8.297304,8.412127,0.065936,-1.143480,-0.000099,9.008085,4.133129,1.185656,0.485699
8.397271,8.503106,0.107365,-1.143511,-0.000512,9.053837,4.106254,1.183319,0.483198
8.497239,8.594087,0.148789,-1.143582,-0.000927,9.099063,4.079671,1.172327,0.485037
8.597206,8.685072,0.190204,-1.143696,-0.001341,9.143775,4.053376,1.160847,0.489180
8.697174,8.776063,0.231607,-1.143851,-0.001755,9.187983,4.027361,1.151047,0.491336
8.797141,8.867061,0.272994,-1.144047,-0.002170,9.231697,4.001622,1.149904,0.494266
8.897109,8.958067,0.314362,-1.144284,-0.002584,9.274929,3.976152,1.154574,0.497296
8.997076,9.049085,0.355706,-1.144563,-0.002998,9.317686,3.950948,1.145523,0.502675
9.097044,9.140115,0.397022,-1.144884,-0.003412,9.359979,3.926004,1.138398,0.503624
9.197011,9.231159,0.438308,-1.145246,-0.003827,9.401816,3.901315,1.136461,0.506911
9.296979,9.322218,0.479559,-1.145649,-0.004241,9.443207,3.876876,1.130721,0.509809
9.396946,9.413296,0.520771,-1.146094,-0.004655,9.484160,3.852682,1.127637,0.496155
9.496914,9.504392,0.561941,-1.146580,-0.005070,9.524682,3.828730,1.122245,0.494305
9.596881,9.595509,0.603064,-1.147107,-0.005484,9.564783,3.805015,1.110400,0.512292
9.696849,9.686649,0.644138,-1.147676,-0.005898,9.604469,3.781533,1.107543,0.509093
9.796816,9.777813,0.685158,-1.148286,-0.006312,9.643749,3.758279,1.113747,0.495583
9.896784,9.869003,0.726120,-1.148938,-0.006727,9.682629,3.735250,1.111986,0.491870
9.996751,9.960220,0.767021,-1.149631,-0.007141,9.721116,3.712442,1.108926,0.497341
10.096719,10.051467,0.807857,-1.150366,-0.007555,9.759219,3.689851,1.109078,0.509177
10.196686,10.142744,0.848624,-1.151142,-0.007970,9.796942,3.667474,1.103180,0.499112
10.296654,10.234054,0.889319,-1.151959,-0.008384,9.834294,3.645306,1.100504,0.501607
10.396622,10.325398,0.929936,-1.152818,-0.008798,9.871280,3.623345,1.102992,0.512649
10.496589,10.416777,0.970474,-1.153718,-0.009213,9.907906,3.601587,1.075755,0.509973
10.596557,10.508194,1.010927,-1.154660,-0.009629,9.944178,3.580029,1.039163,0.509257
10.696524,10.599650,1.051292,-1.155640,-0.009979,9.980103,3.558668,1.011259,0.500310
10.796492,10.691146,1.091566,-1.156655,-0.010327,10.015685,3.537500,0.992780,0.465770
10.896459,10.782683,1.131746,-1.157688,-0.010305,10.050932,3.516522,0.984261,0.451075
10.996427,10.874262,1.171832,-1.158716,-0.010268,10.085847,3.495733,0.985960,0.458137
11.096394,10.965881,1.211824,-1.159734,-0.010096,10.120436,3.475128,0.997823,0.477405
11.196362,11.057541,1.251723,-1.160734,-0.009918,10.154704,3.454704,1.011526,0.494751
11.296329,11.149241,1.291532,-1.161716,-0.009729,10.188657,3.434460,1.033725,0.505585
11.396297,11.240979,1.331251,-1.162679,-0.009540,10.222299,3.414393,1.060042,0.511084
11.496264,11.332755,1.370883,-1.163624,-0.009350,10.255636,3.394499,1.053262,0.504421
11.596232,11.424568,1.410429,-1.164549,-0.009160,10.288671,3.374777,1.056038,0.501080
11.696199,11.516417,1.449891,-1.165455,-0.008970,10.321409,-3.489887,1.047366,0.502842
11.796167,11.608301,1.489270,-1.166342,-0.008780,10.287552,-6.384387,1.040557,0.505518
11.896134,11.700220,1.528569,-1.167210,-0.008590,10.225325,-6.410512,1.036994,0.505939
11.996102,11.792173,1.567789,-1.168060,-0.008400,10.162459,-6.436177,1.036124,0.506390
12.096069,11.884159,1.606932,-1.168890,-0.008211,10.098949,-6.461375,1.043083,0.506872
12.196037,11.976176,1.645999,-1.169701,-0.008021,10.034785,-6.486105,1.059552,0.495846
12.296004,12.068225,1.684992,-1.170494,-0.007831,9.969960,-6.510365,1.072566,0.502499
12.395972,12.160305,1.723913,-1.171267,-0.007641,9.904467,-6.534150,1.077192,0.508521
12.495939,12.252414,1.762764,-1.172021,-0.007451,9.838295,-6.557459,1.069881,0.496569
12.595907,12.344552,1.801547,-1.172757,-0.007261,9.771437,-6.580286,1.070942,0.488946
12.695874,12.436718,1.840262,-1.173473,-0.007072,9.703884,-6.602631,1.073025,0.501469
12.795842,12.528912,1.878912,-1.174170,-0.006882,9.635624,-6.624490,1.068059,0.500914
12.895809,12.621132,1.917499,-1.174849,-0.006692,9.566650,-6.645861,1.067702,0.484567
12.995777,12.713378,1.956024,-1.175508,-0.006502,9.496950,-6.666739,1.069621,0.475930
13.095744,12.805649,1.994490,-1.176149,-0.006312,9.426512,-6.687124,1.058317,0.475644
13.195712,12.897944,2.032897,-1.176770,-0.006122,9.355327,-6.707011,1.056457,0.489495
13.295679,12.990263,2.071247,-1.177373,-0.005932,9.283382,-6.726401,1.059368,0.474464
13.395647,13.082605,2.109543,-1.177957,-0.005743,9.210664,-6.745288,1.040974,0.474097
13.495614,13.174968,2.147785,-1.178521,-0.005553,9.137161,-6.763670,1.014546,0.479931
13.595582,13.267353,2.185977,-1.179067,-0.005363,9.062860,-6.781545,0.997535,0.478889
13.695550,13.359758,2.224119,-1.179593,-0.005173,8.987745,-6.798918,0.990425,0.473384
13.795517,13.452182,2.262213,-1.180101,-0.004983,8.911802,-6.815780,0.993427,0.473284
13.895485,13.544626,2.300261,-1.180590,-0.004793,8.835016,-6.832109,1.006448,0.473256
13.995452,13.637088,2.338265,-1.181059,-0.004604,8.757370,-6.847923,1.022556,0.469332
14.095420,13.729568,2.376226,-1.181510,-0.004413,8.678847,-6.863293,1.029335,0.473423
14.195387,13.822064,2.414146,-1.181942,-0.004222,8.599428,-6.878143,1.029755,0.473622
14.295355,13.914576,2.452028,-1.182354,-0.004035,8.519095,-6.892218,1.022301,0.460681
14.395322,14.007104,2.489872,-1.182748,-0.003848,8.437831,-6.905769,1.011878,0.461064
14.495290,14.099646,2.527680,-1.183119,-0.003558,8.355614,-6.925996,1.011315,0.471742
14.595257,14.192201,2.565456,-1.183460,-0.003264,8.272336,-6.945676,1.013980,0.462351
14.695225,14.284768,2.603203,-1.183721,-0.001928,8.187970,-7.034433,1.005861,0.444759
14.795192,14.377342,2.640932,-1.183845,-0.000556,8.101631,-7.069358,1.007662,0.430903
14.895160,14.469919,2.678656,-1.183809,0.001299,8.013926,-6.948175,1.019317,0.439917
14.995127,14.562490,2.716393,-1.183586,0.003171,7.926779,-6.832408,1.033511,0.444357
15.095095,14.655049,2.754159,-1.183175,0.005039,7.840140,-6.721684,1.033925,0.435774
15.195062,14.747590,2.791972,-1.182578,0.006907,7.753960,-6.615845,1.034346,0.429261
15.295030,14.840104,2.829848,-1.181794,0.008775,7.668191,-6.514811,1.038078,0.429311
15.394997,14.932585,2.867806,-1.180824,0.010643,7.582784,-6.418399,1.035131,0.431502
15.494965,15.025025,2.905862,-1.179666,0.012513,7.497690,-6.326591,1.035459,0.430097
15.594932,15.117418,2.944034,-1.178322,0.014383,7.412857,-6.239766,1.042644,0.429527
15.694900,15.209756,2.982338,-1.176791,0.016244,7.328226,-6.157363,1.036483,0.431910
15.794867,15.302031,3.020792,-1.175074,0.018105,7.243744,-6.075208,1.035957,0.428656
15.894835,15.394237,3.059414,-1.173167,0.020045,7.159412,-5.997360,1.037968,0.428683
15.994802,15.486365,3.098220,-1.171066,0.021988,7.075174,-5.861233,1.034243,0.429045
16.094770,15.578407,3.137230,-1.168711,0.025166,6.991869,-5.712032,1.033193,0.418969
16.194737,15.670350,3.176472,-1.166035,0.028384,6.909717,-5.538303,1.034777,0.409305
16.294705,15.762181,3.215975,-1.163004,0.032272,6.829121,-5.371524,1.030477,0.423964
16.394672,15.853885,3.255774,-1.159582,0.036181,6.750032,-5.225372,1.028739,0.424940
16.494640,15.945444,3.295905,-1.155772,0.040053,6.672196,-5.086342,1.030079,0.410078
16.594607,16.036841,3.336402,-1.151574,0.043925,6.595549,-4.954609,1.024311,0.409049
16.694575,16.128060,3.377300,-1.146990,0.047786,6.520020,-4.817790,1.021544,0.432230
16.794542,16.219082,3.418634,-1.142020,0.051648,6.445729,-4.682641,1.018357,0.422304
16.894510,16.309890,3.460436,-1.136663,0.055523,6.372691,-4.553565,1.015370,0.411598
16.994477,16.400464,3.502742,-1.130919,0.059401,6.300855,-4.454676,1.010541,0.415466
17.094445,16.490786,3.545585,-1.124798,0.063053,6.229778,-4.400184,1.005898,0.426007
17.194413,16.580835,3.588996,-1.118312,0.066702,6.158764,-4.323365,0.999234,0.430080
17.294380,16.670593,3.633009,-1.111426,0.071094,6.088184,-4.251965,0.992682,0.431628
17.394348,16.760035,3.677657,-1.104098,0.075513,6.017962,-4.143672,0.987648,0.438644
17.494315,16.849139,3.722982,-1.096265,0.081236,5.948731,-4.042488,0.983281,0.446534
