0.0000000, -47.8854145, 8.9385346, -0.0148893, 0.0023343, 8.6816311, 5.2528933
0.6657476, -47.8759091, 9.6095414, -0.0135066, 0.0017448, 9.0755121, 5.2485219
1.3314953, -47.8672865, 10.2724517, -0.0125742, 0.0011322, 9.4526876, 5.2441542
1.9972429, -47.8591578, 10.9355651, -0.0120045, 0.0004985, 9.8150838, 2.7518915
2.6629906, -47.8511561, 11.6005851, -0.0122510, -0.0012329, 10.0000000, 0.0000000
3.3287382, -47.8427620, 12.2620559, -0.0129016, 0.0004638, 10.0000000, -8.3440283
3.9944859, -47.8344872, 12.9301862, -0.0116076, 0.0019237, 9.4281475, -11.7642815
4.6602335, -47.8267531, 13.5949318, -0.0122975, -0.0038441, 8.5572122, -11.6488913
5.3259812, -47.8177537, 14.2642366, -0.0132297, 0.0067084, 7.5970676, -11.6209899
5.9917288, -47.8118582, 14.9308750, -0.0026870, 0.0095973, 6.4993956, -5.1362356
6.6574765, -47.7976942, 15.6003550, -0.0623396, -0.1944987, 5.9500646, -1.0676927
7.3232241, -47.6991848, 16.2565881, -0.2492442, -0.3223372, 5.8293774, -0.0212209
7.9889718, -47.4659223, 16.8741199, -0.4778872, -0.3534257, 5.8269534, -0.0212209
8.6547194, -47.1024241, 17.4291916, -0.6658898, -0.2119804, 5.8245283, 4.1500824
9.3204671, -46.6585221, 17.9370385, -0.7457519, 0.0025393, 6.2809988, -2.3634436
9.9862147, -46.2240329, 18.4389809, -0.6489702, 0.2660654, 6.0252827, -0.0226712
10.6519624, -45.8777899, 19.0014896, -0.4472234, 0.3308169, 6.0227772, -0.0226712
11.3177100, -45.6515837, 19.6145846, -0.2803695, 0.1565054, 6.0202706, 5.2773477
11.9834577, -45.4905535, 20.2540708, -0.2250771, 0.0418974, 6.5780257, 5.2729560
12.6492053, -45.3446840, 20.9175868, -0.2126400, -0.0024870, 7.0916386, 5.2685679
13.3149530, -45.2015731, 21.5644714, -0.2268652, -0.0394788, 7.5700998, -5.3344726
13.9807006, -45.0391513, 22.2173848, -0.2631351, -0.0601561, 7.0854489, -8.9705235
14.6464483, -44.8528860, 22.8562027, -0.3049748, -0.0663542, 6.1854164, -5.1610255
15.3121959, -44.6279107, 23.4955012, -0.3903025, -0.2185135, 5.6024544, -0.0196009
15.9779436, -44.3192389, 24.0757227, -0.6107559, -0.3826360, 5.6001247, -0.0196009
16.6436912, -43.8836415, 24.5759791, -0.7982225, -0.1681936, 5.5977941, 5.2804154
17.3094389, -43.3846073, 25.0158677, -0.9069725, -0.2100709, 6.1940412, 3.9164099
17.9751865, -42.8392483, 25.3797358, -1.0574127, -0.2088270, 6.6015777, 0.5195381
18.6409342, -42.2389694, 25.6713387, -1.1732779, -0.1682717, 6.6537652, -0.0276474
19.3066818, -41.6094040, 25.8867428, -1.3204570, -0.2712736, 6.6509983, -0.0276474
19.9724294, -40.9573452, 25.9954173, -1.4763220, -0.1651131, 6.6482303, 4.6745461
20.6381771, -40.2892818, 26.0310138, -1.5482547, -0.0768876, 7.1009226, 5.2684856
21.3039247, -39.6222348, 26.0299026, -1.5952897, -0.0644707, 7.5787905, 5.2641012
21.9696724, -38.9581826, 25.9984960, -1.6439093, -0.0882508, 8.0279008, 5.2597205
22.6354200, -38.2937821, 25.9277772, -1.7117665, -0.0966178, 8.4528389, 5.0519549
23.3011677, -37.6368148, 25.8178418, -1.7541884, -0.0313059, 8.8417837, 5.2511393
23.9669153, -36.9806513, 25.6927286, -1.7616655, -0.0044245, 9.2287056, 5.2467694
24.6326630, -36.3289663, 25.5662878, -1.7625077, 0.0014906, 9.5997425, 5.2424031
25.2984106, -35.6735950, 25.4393137, -1.7619930, 0.0000294, 9.9566706, 0.6494276
25.9641583, -35.0204410, 25.3128018, -1.7622946, -0.0003979, 10.0000000, 0.0000000
26.6299059, -34.3686048, 25.1863858, -1.7623474, 0.0002454, 10.0000000, 0.0000000
27.2956536, -33.7137794, 25.0594466, -1.7622085, 0.0001664, 10.0000000, 0.0000000
27.9614012, -33.0605629, 24.9328954, -1.7621171, 0.0001367, 10.0000000, 0.0000000
28.6271489, -32.4078299, 24.8065005, -1.7620170, 0.0001634, 10.0000000, 0.0000000
29.2928965, -31.7537822, 24.6799184, -1.7619285, 0.0001019, 10.0000000, 0.0000000
29.9586442, -31.1004627, 24.5535232, -1.7618814, 0.0000400, 10.0000000, 0.0000000
30.6243918, -30.4470092, 24.4271202, -1.7618752, -0.0000216, 10.0000000, 0.0000000
31.2901395, -29.7936138, 24.3007187, -1.7619098, -0.0000822, 10.0000000, 0.0000000
31.9558871, -29.1403374, 24.1743043, -1.7619759, -0.0000989, 10.0000000, 0.0000000
32.6216348, -28.4863073, 24.0476998, -1.7620373, -0.0000831, 10.0000000, 0.0000000
33.2873824, -27.8330164, 23.9212022, -1.7620799, -0.0000450, 10.0000000, 0.0000000
33.9531301, -27.1794877, 23.7946379, -1.7620997, -0.0000186, 10.0000000, 0.0000000
34.6188777, -26.5254656, 23.6679695, -1.7621057, 0.0000001, 10.0000000, 0.0000000
35.2846254, -25.8720789, 23.5414240, -1.7621010, 0.0000138, 10.0000000, 0.0000000
35.9503730, -25.2185208, 23.4148514, -1.7620883, 0.0000225, 10.0000000, 0.0000000
36.6161207, -24.5645896, 23.2882166, -1.7620714, 0.0000277, 10.0000000, 0.0000000
37.2818683, -23.9111383, 23.1616870, -1.7620528, 0.0000282, 10.0000000, 0.0000000
37.9476160, -23.2575151, 23.0351368, -1.7620344, 0.0000260, 10.0000000, 0.0000000
