time,batch_size,batch_mean_reward,batch_min_reward,batch_max_reward,batch_done_count,episodes_completed_total,transitions_total,replay_buffer_size
8.131,2,-0.31461132243275647,-0.5741771914064885,-0.05504545345902443,0,0,2,2
8.132,32,0.0951311844328302,-0.14895904622972012,0.20410380698740482,0,0,34,34
8.132,32,0.16959074748447164,0.09183441996574401,0.27436103019863367,0,0,66,66
8.133,32,0.19043124606250783,0.03514108061790466,0.3137851644307375,0,0,98,98
8.133,32,0.12123356277497807,0.04890373349189759,0.21370760326972232,0,0,130,130
8.134,32,0.23684017614941694,0.10479160882532595,0.3673293568193912,0,0,162,162
8.134,30,-0.22599412732195745,-16.256337561662313,0.4418180227279663,1,1,192,192
8.135,32,0.12311444762090105,-0.5764847666025162,0.3288188839331269,0,1,224,224
8.135,32,0.2784425254963139,0.10494643151760101,0.43537930846214296,0,1,256,256
8.135,32,0.12773158518102717,0.05298452526330946,0.19831530600786207,0,1,288,288
8.136,32,0.1382394284242764,0.048319896683096886,0.2651548027992248,0,1,320,320
8.137,32,0.14661279836436736,0.09290012568235397,0.1836099274456501,0,1,352,352
8.148,32,0.26401499935018363,0.14283683896064758,0.3964039054699242,0,1,384,384
8.168,18,-1.2623675191241608,-19.377040907432477,0.4006480681709945,1,2,402,402
8.23,32,-0.6374364541145042,-1.3869767689146102,-0.14929573312401773,0,2,434,434
8.291,32,-0.6279182418948039,-1.3846885934472086,-0.22164418771862981,0,2,466,466
8.353,32,-0.7573058757348918,-1.5123793207108975,-0.14716730173677206,0,2,498,498
8.394,32,-0.6517502698814497,-1.5498003296554088,-0.08401401191949845,0,2,530,530
8.687,32,-0.6683636495145038,-1.306952925026417,-0.1532543420791626,0,2,562,562
8.688,32,-0.7503809431567788,-1.3505160748958587,-0.1123270481824875,0,2,594,594
8.689,18,-1.2946877738253937,-10.189033775031566,-0.17136676013469698,1,3,612,612
8.689,32,-0.7508986495114532,-1.4589833771164054,-0.23804638572037218,0,3,644,644
8.69,32,-0.6891212587070186,-1.577083504572511,0.005217939615249634,0,3,676,676
8.802,32,-0.6152193280693609,-1.4369923278689385,-0.1023788869380951,0,3,708,708
8.847,32,-0.5925326058466454,-1.4424722326919437,-0.08213324528187513,0,3,740,740
8.87,32,-0.6724945360707352,-1.428437198419124,-0.0758236587047577,0,3,772,772
8.886,32,-0.5887114642056986,-1.3140394219197333,-0.09402947537600995,0,3,804,804
8.946,32,-0.6690975117860944,-1.5229434948414566,-0.16943207113072278,0,3,836,836
9.034,32,-0.6859968902019318,-1.3684578130021692,-0.06929534450173377,0,3,868,868
9.1,32,-0.6673765609622934,-1.5911130929365755,-0.20305178463459017,0,3,900,900
9.101,1,-10.85785498097539,-10.85785498097539,-10.85785498097539,1,4,901,901
9.166,32,-0.6923082867687096,-1.2586832577362659,-0.22975103966891763,0,4,933,933
9.196,32,-0.6460021931903611,-1.457020501419902,-0.03280815128237009,0,4,965,965
9.258,32,-0.6804237880278379,-1.3778777092695236,-0.14892601147294046,0,4,997,997
9.315,32,-0.7669647757837084,-1.51896271109581,-0.20110855251550674,0,4,1029,1029
9.378,32,-0.5951780693605543,-1.1627093158662318,-0.13390248753130435,0,4,1061,1061
9.443,32,-0.807506424409803,-1.6137486964464187,-0.22047569006681444,0,4,1093,1093
9.481,17,-1.3483727034838762,-10.55545072555542,-0.3095917373895645,1,5,1110,1110
9.542,32,-0.6982200298312818,-1.3272550117224455,-0.2814582593739033,0,5,1142,1142
9.65,32,-0.5495323659502902,-1.2154495529830456,-0.10917025655508042,0,5,1174,1174
9.653,32,-0.6272936896653846,-1.4944012612104416,0.013040345162153244,0,5,1206,1206
9.756,4,-3.5121962491553664,-12.543355678819275,-0.2288487896323204,1,6,1210,1210
9.759,32,-0.6708679270057474,-1.7281971842050552,-0.12252062186598778,0,6,1242,1242
9.862,32,-0.5793855970172445,-1.3011525817215444,-0.0658931128680706,0,6,1274,1274
9.864,32,-0.6930514303967357,-1.444774327427149,-0.19348392635583878,0,6,1306,1306
9.967,32,-0.6121517566032708,-1.4983264185488223,-0.10377251133322715,0,6,1338,1338
9.97,32,-0.5873302716761828,-1.6117075555026532,-0.06426859609782697,0,6,1370,1370
10.078,32,-0.600075386458775,-1.4781129859387874,-0.04333125576376916,0,6,1402,1402
10.081,32,-0.6386204066511709,-1.188007724285126,-0.14479064643383027,0,6,1434,1434
10.183,32,-0.5916251080576331,-1.1965852737426756,-0.14746076464653016,0,6,1466,1466
10.185,32,-0.6273187296959803,-1.3897605016827583,-0.11278654038906098,0,6,1498,1498
10.289,32,-0.6007466621900677,-1.2295609131455423,-0.15776608586311341,0,6,1530,1530
10.292,32,-0.6664807117078453,-1.2022027045488357,-0.1134842149913311,0,6,1562,1562
10.405,32,-0.683592387335375,-1.3060755759477616,-0.08118104040622712,0,6,1594,1594
10.41,32,-0.6500710387714208,-1.5250494658946991,-0.18970408737659455,0,6,1626,1626
10.522,32,-0.6317346526542679,-1.1832518577575684,-0.1630753092467785,0,6,1658,1658
