timestamp,time,episode_lengths,episode_rewards,episode_mean_step_rewards,lap_times,reward_difficulty,difficulty,total_timesteps,training_duration,replay_buffer_size,batch_size,gradient_steps,learning_rate,actor_loss,critic_loss,ent_coef_loss,ent_coef,total_weight_updates,UDT
2026-04-02 13:58:37,9.069485664367676,"[58, 141, 253]","[-9.334268392707553, -9.525845815288104, 1.858897508923027]","[-0.16093566194323367, -0.06755919017934822, 0.007347420983885493]",[],,,522,0.9393031597137451,522,256,256,0.0003,-3.8706917762756348,7.1973161697387695,-0.257453590631485,0.9263341426849365,256,0.4904214559386973
2026-04-02 13:58:39,10.779740571975708,"[78, 202, 90, 110, 165, 99, 99, 99, 99, 83]","[-13.80003020082836, -0.9629749795989166, -9.766225936375562, -13.695324169382346, -10.292095500881796, -82.41363601953651, -70.5761925967139, -82.70885763288646, -76.17887581435016, -66.79855637399635]","[-0.1769234641131841, -0.004767202869301524, -0.108513621515284, -0.12450294699438497, -0.06237633636898059, -0.832460969894308, -0.7128908343102415, -0.8354430063927929, -0.7694835940843449, -0.8048018840240525]",[],,,1646,0.9147481918334961,1646,256,256,0.0003,-4.421834945678711,0.5350929498672485,-0.5119501948356628,0.8579605221748352,512,0.3110571081409477
2026-04-02 13:58:41,12.334723949432373,"[99, 99, 99, 99, 99, 99, 99, 127, 154]","[-80.44053754047776, -83.20791408092522, -79.0968806924977, -76.53722790202677, -71.9717102911722, -67.35174617666166, -72.76013745155296, -95.01355076851736, -116.05029137070214]","[-0.8125306822270482, -0.8404839806154061, -0.7989583908333101, -0.7731033121416846, -0.7269869726381029, -0.6803206684511278, -0.73495088334902, -0.7481381950276955, -0.7535733205889747]",[],,,2620,0.871591329574585,2620,256,256,0.0003,-4.844289302825928,1.3004207611083984,-0.7701166868209839,0.7945684790611267,768,0.2931297709923664
2026-04-02 13:58:42,13.899714231491089,"[214, 99, 155, 99, 251, 118]","[-137.59201775074118, -77.70558701103027, -106.52360411833241, -74.17946165959766, -154.88784175159805, -81.37385414051671]","[-0.642953353975426, -0.784904919303336, -0.6872490588279513, -0.749287491511088, -0.6170830348669243, -0.6896089333942093]",[],,,3556,0.7835230827331543,3556,256,256,0.0003,-4.505700588226318,5.335195064544678,-1.0230813026428223,0.7360947132110596,1024,0.2879640044994376
2026-04-02 13:58:44,15.407403469085693,"[210, 68, 89, 61, 129, 93, 99, 140, 87]","[-131.06963489778568, -48.59397949297448, -67.81261472137562, -47.93460994418364, -92.59812168977798, -69.44131809049776, -76.68502571482347, -96.76314257504724, -65.57676023983034]","[-0.6241411185608843, -0.7146173454849191, -0.7619394912514115, -0.7858132777735023, -0.7178148968199846, -0.7466808396827713, -0.774596219341651, -0.6911653041074803, -0.7537558648256361]",[],,,4532,0.8234660625457764,4532,256,256,0.0003,-4.62113618850708,6.1594085693359375,-1.2774622440338135,0.6820007562637329,1280,0.2824360105913504
2026-04-02 13:58:45,17.015220642089844,"[117, 137, 139, 95, 129, 66, 46, 197, 60, 99]","[-89.554132395202, -89.07025704644333, -100.89337961863815, -71.33673803996949, -89.14344805933467, -53.60041709664945, -41.250886398779414, -132.63850515428888, -52.49215508204438, -73.20369071105569]","[-0.7654199350017264, -0.650147861652871, -0.7258516519326482, -0.7509130319996788, -0.691034481080114, -0.8121275317674159, -0.8967583999734652, -0.6732919043364919, -0.8748692513674062, -0.7394312193035927]",[],,,5617,0.8170740604400635,5617,256,256,0.0003,-5.003582000732422,2.3279900550842285,-1.5317175388336182,0.6318827271461487,1536,0.27345558127114117
2026-04-02 13:58:47,18.45545196533203,"[147, 158, 79, 87, 99, 110, 123, 98]","[-94.2112253313949, -102.86955486460536, -64.64810661838389, -68.61988357271454, -74.37771897178737, -76.3790717616985, -83.3926523334124, -75.2872450803318]","[-0.6408926893292168, -0.6510731320544642, -0.8183304635238469, -0.7887342939392477, -0.7512900906241149, -0.6943551978336229, -0.6779890433610765, -0.7682371946972636]",[],,,6518,0.7897272109985352,6518,256,256,0.0003,-4.649858474731445,4.765754699707031,-1.7775318622589111,0.5853342413902283,1792,0.2749309604173059
2026-04-02 13:58:48,19.802502393722534,"[99, 84, 99, 106, 74, 99, 130, 90, 124]","[-75.40055015744316, -60.43218200545185, -81.58718920737579, -78.45093975885071, -50.46999381954235, -69.21876587956655, -100.9353659563489, -70.21438850430293, -93.23062186372107]","[-0.7616217187620519, -0.719430738160141, -0.8241130222967251, -0.7401032052721765, -0.6820269435073293, -0.6991794533289547, -0.7764258919719147, -0.7801598722700326, -0.751859853739686]",[],,,7423,0.7318363189697266,7423,256,256,0.0003,-4.818971633911133,4.766556739807129,-2.0336482524871826,0.5422289371490479,2048,0.275899232116395
2026-04-02 13:58:50,21.296514749526978,"[71, 133, 121, 99, 51, 118, 99, 101, 104]","[-52.50112903568968, -93.97007145177103, -88.3208453031648, -75.81392202783766, -43.41147055032849, -80.98392552261386, -71.85207071421834, -68.78345797087788, -78.1787762581864]","[-0.7394525216294322, -0.7065418906148199, -0.7299243413484694, -0.7657971922003804, -0.8512053049084018, -0.6863044535814735, -0.7257784920628115, -0.6810243363453253, -0.7517190024825617]",[],,,8320,0.7122228145599365,8320,256,256,0.0003,-4.460660934448242,5.7808709144592285,-2.2770862579345703,0.5023055076599121,2304,0.27692307692307694
2026-04-02 13:58:51,22.798887252807617,"[68, 96, 114, 99, 75, 99, 127, 87]","[-55.730816032865775, -77.08019922080244, -82.81202742769156, -75.58533556134292, -52.3653279329735, -75.08523266382625, -94.25101576950793, -64.08551030497121]","[-0.8195708240127317, -0.8029187418833588, -0.7264212932253646, -0.7634882379933624, -0.6982043724396465, -0.758436693574002, -0.7421339824370703, -0.7366150609766804]",[],,,9085,0.8457221984863281,9085,256,256,0.0003,-4.055681228637695,7.334342002868652,-2.5405216217041016,0.4653446078300476,2560,0.2817831590533847
2026-04-02 13:58:53,24.214635610580444,"[169, 92, 75, 67, 144]","[-107.25103813947739, -74.41671968684383, -56.94119003444874, -51.444740052610136, -98.34839200823791]","[-0.6346215274525289, -0.8088773879004765, -0.759215867125983, -0.7678319410837334, -0.6829749445016525]",[],,,9632,0.801694393157959,9632,256,256,0.0003,-3.5322794914245605,8.988672256469727,-2.8192710876464844,0.43118831515312195,2816,0.292358803986711
2026-04-02 13:58:54,25.77523112297058,"[102, 130, 80, 41, 72, 49, 113, 78, 68, 129, 60, 94, 99, 83, 91, 31]","[-71.39897357923522, -92.42862299058059, -59.966377452828624, -38.03695885208452, -58.03775788038732, -43.65889973577862, -71.04978041816642, -62.77207229596351, -47.715609963097755, -85.90037773223814, -50.55263373223987, -63.47632348909922, -73.37727541450701, -56.55824779153077, -63.90679919538897, -28.812746226006304]","[-0.6999899370513255, -0.7109894076198509, -0.7495797181603581, -0.9277307037093785, -0.806079970560935, -0.8909979537914003, -0.6287591187448356, -0.8047701576405578, -0.7017001465161433, -0.6658944010251019, -0.8425438955373311, -0.6752800371180768, -0.7411846001465354, -0.6814246721871179, -0.702272518630648, -0.9294434266453646]",[],,,10952,0.7300329208374023,10952,256,256,0.0003,-3.120877742767334,0.809345006942749,-2.988060235977173,0.39971694350242615,3072,0.28049671292914535
2026-04-02 13:58:56,27.205647706985474,"[213, 40, 149, 162, 60, 99, 120, 99]","[-129.83784112579838, -36.971575507553894, -105.86710620756429, -115.11806461307351, -51.74458323504122, -70.036161818416, -84.07301925321082, -74.49765408118975]","[-0.6095673292291004, -0.9242893876888475, -0.7105174913259344, -0.7106053371177379, -0.8624097205840204, -0.7074359779637982, -0.700608493776757, -0.7525015563756539]",[],,,11894,0.7845296859741211,11894,256,256,0.0003,-2.8472986221313477,3.7010905742645264,-3.208263874053955,0.3707507848739624,3328,0.2798049436690768
2026-04-02 13:58:57,28.63037133216858,"[99, 99, 147, 99, 104, 80, 83, 99]","[-74.04807271327269, -71.28782493901343, -99.22561291439186, -71.65198513806999, -66.13669113818531, -57.61074583443151, -58.627425778960756, -68.95348098234065]","[-0.7479603304370979, -0.7200790397880146, -0.6750041694856591, -0.7237574256370706, -0.6359297224825512, -0.7201343229303939, -0.7063545274573587, -0.6964998079024305]",[],,,12704,0.7754614353179932,12704,256,256,0.0003,-3.201761484146118,2.3798933029174805,-3.234638214111328,0.34412458539009094,3584,0.28211586901763225
2026-04-02 13:58:59,30.177715063095093,"[101, 99, 74, 117, 61, 99, 69, 87, 167, 70, 99]","[-64.72152947157338, -68.5555184547261, -55.530434320888304, -71.47959737175745, -46.090487712291164, -64.86063345860754, -51.68436306297499, -58.18618139418914, -99.23176151338843, -49.475410517559425, -65.49999306000954]","[-0.6408072224908258, -0.6924799843911728, -0.7504112746065988, -0.6109367296731405, -0.7555817657752649, -0.6551579137233083, -0.7490487400431155, -0.6688066826918293, -0.5942021647508289, -0.7067915788222775, -0.661616091515248]",[],,,13747,0.7659385204315186,13747,256,256,0.0003,-2.1462502479553223,1.5158933401107788,-3.358808994293213,0.3196910321712494,3840,0.2793336728013385
2026-04-02 13:59:00,31.674035787582397,"[93, 47, 189, 174, 49, 98, 99, 99, 72]","[-62.56239924034745, -38.17318986150706, -122.06550805981999, -98.97269081879611, -38.63476913423552, -55.42649032689916, -62.7727554415252, -61.72112774883138, -49.01542041987456]","[-0.6727139703263167, -0.8121955289682353, -0.6458492489937568, -0.5688085679241156, -0.7884646762088882, -0.5655764319071344, -0.6340682367830828, -0.6234457348366806, -0.6807697280538134]",[],,,14667,0.8140432834625244,14667,256,256,0.0003,-2.542489767074585,4.094663619995117,-3.566030979156494,0.2972918748855591,4096,0.27926638030953843
2026-04-02 13:59:01,33.11150574684143,"[99, 87, 107, 108, 66, 92, 149, 47, 84]","[-54.603720208876965, -50.406959929604305, -69.2713801621454, -58.20401308206339, -43.12682230478788, -57.85300010570221, -73.85025777594817, -31.437673777965667, -54.55185007222552]","[-0.5515527293825959, -0.5793903440184403, -0.6473960762817328, -0.5389260470561427, -0.6534367015876952, -0.6288369576706762, -0.49563931393253785, -0.668886676126929, -0.6494267865741132]",[],,,15506,0.7675340175628662,15506,256,256,0.0003,-1.4183754920959473,6.703498840332031,-3.665174961090088,0.27674469351768494,4352,0.2806655488198117
2026-04-02 13:59:03,34.708770751953125,"[84, 99, 94, 99, 100, 63, 99, 126, 83, 137]","[-52.07627873600858, -59.36411519144296, -49.86300253637382, -57.770639341157576, -60.493209254819526, -39.020376105937395, -55.84057031044503, -63.80956594529785, -48.28881980218884, -68.44186782180482]","[-0.6199556992381974, -0.5996375271862926, -0.530457473791211, -0.5835418115268441, -0.6049320925481951, -0.6193710493005937, -0.5640461647519701, -0.5064251265499828, -0.5817930096649256, -0.4995756775314221]",[],,,16490,0.7860724925994873,16490,256,256,0.0003,-1.440940022468567,0.6514905095100403,-3.9256834983825684,0.25763270258903503,4608,0.27944208611279564
2026-04-02 13:59:04,36.12841796875,"[155, 85, 116, 100, 99, 93, 115, 68, 99]","[-82.16699756878832, -42.62385269844342, -63.988164771222365, -44.53058885537592, -52.764278873328166, -46.2533753904567, -47.72138438552503, -34.720449491234724, -55.15648831903715]","[-0.5301096617341181, -0.5014570905699226, -0.5516221100967444, -0.44530588855375924, -0.5329725138720017, -0.497348122478029, -0.41496855987413067, -0.5105948454593343, -0.5571362456468398]",[],,,17420,0.7769041061401367,17420,256,256,0.0003,-0.946647584438324,4.181595325469971,-3.938899040222168,0.24002426862716675,4864,0.2792192881745121
2026-04-02 13:59:06,37.60280442237854,"[127, 61, 64, 212, 99, 156, 99]","[-54.79292291400946, -33.32448987877147, -35.10859398282064, -84.35826837734116, -52.880606694430604, -65.40295230545706, -55.928139823866616]","[-0.43144033790558617, -0.5463031127667454, -0.5485717809815724, -0.39791636027047744, -0.5341475423679858, -0.4192496942657504, -0.5649307052915821]",[],,,18238,0.8052635192871094,18238,256,256,0.0003,-0.6651568412780762,0.7778427600860596,-4.028894424438477,0.22373224794864655,5120,0.2807325364623314
2026-04-02 13:59:08,39.17682433128357,"[103, 191, 33, 89, 31, 101, 215]","[-50.52863027233702, -68.74781442732004, -23.114289057212247, -45.06845197481873, -23.85271284318351, -47.865137214117254, -67.82031821775317]","[-0.49056922594501967, -0.3599362011901573, -0.7004330017337045, -0.50638710084066, -0.7694423497801133, -0.4739122496447253, -0.315443340547689]",[],,,19001,0.769585371017456,19001,256,256,0.0003,-0.6540608406066895,0.5406842827796936,-4.041458606719971,0.2087768316268921,5376,0.2829324772380401
2026-04-02 13:59:09,40.69804120063782,"[351, 57, 211, 177, 136, 110]","[-139.2100138490067, -27.763401187576733, -79.4361212084482, -70.71102506724213, -49.70049655443302, -43.43062362809209]","[-0.39660972606554645, -0.48707721381713565, -0.3764745080969111, -0.39949731676408, -0.3654448276061252, -0.39482385116447355]",[],,,20043,0.8713235855102539,20043,256,256,0.0003,0.2246275693178177,0.62626051902771,-4.074674606323242,0.19479672610759735,5632,0.28099585890335776
2026-04-02 13:59:11,42.15866160392761,"[206, 99, 125, 305, 241]","[-83.54039246584956, -55.34317330242348, -66.20134459746733, -87.32558809161387, -81.26208624197164]","[-0.4055358857565517, -0.5590219525497321, -0.5296107567797383, -0.28631340357906193, -0.33718707984220614]",[],,,21019,0.8082981109619141,21019,256,256,0.0003,-0.20789647102355957,2.0411999225616455,-4.132401943206787,0.18195368349552155,5888,0.28012750368714023
2026-04-02 13:59:12,43.73028326034546,"[289, 142, 162, 247]","[-96.23405582725348, -58.703100057196686, -70.38559394389172, -91.31877511458538]","[-0.3329898125510501, -0.41340211307884983, -0.43447897496229465, -0.3697116401400219]",[],,,21859,0.7633628845214844,21859,256,256,0.0003,0.40421122312545776,1.0288746356964111,-4.1139020919799805,0.17010025680065155,6144,0.28107415709776296
