obs_idx,count,mean,std,min,max
0,149987,0.3279085786741134,0.1722737384895539,0.0,1.0020320415496826
1,149987,-0.018799230370703992,0.47969874490032527,-12.710461616516113,10.006524085998535
2,149987,0.07199091140005717,0.49411000338021643,-5.3030619621276855,9.764235496520996
3,149987,0.10080983939268022,0.5024175993262219,-1.5,1.5
4,149987,0.10273083066303453,0.41725434577619924,-1.0063610076904297,0.880649983882904
5,149987,0.10481007109377724,0.4106161957312248,-1.0063610076904297,0.880649983882904
6,149987,0.10533327494987751,0.4009904791468089,-1.0063610076904297,0.880649983882904
7,149987,0.1046588016518387,0.39171483262029694,-1.0063610076904297,0.880649983882904
8,149987,0.10245010066712931,0.3829162975796013,-1.0063610076904297,0.880649983882904
9,149987,0.09966746917238441,0.37670729979879913,-1.0063610076904297,0.880649983882904
10,149987,0.09503059338582365,0.3722319428840247,-1.0063610076904297,0.880649983882904
11,149987,0.09097778625159489,0.3729549048600322,-1.0063610076904297,0.880649983882904
12,149987,0.08602864573760119,0.3757326509166983,-1.0063610076904297,0.880649983882904
13,149987,0.0810222379880505,0.3795218569055527,-1.0063610076904297,0.880649983882904
14,149987,0.07688791144078455,0.38179381770670606,-1.0063610076904297,0.880649983882904
15,149987,0.07543751251906494,0.3828853659085541,-1.0063610076904297,0.880649983882904
16,149987,0.07484180199602138,0.38165393171097334,-1.0063610076904297,0.880649983882904
17,149987,0.07527268142880159,0.3778908038962806,-1.0063610076904297,0.880649983882904
18,149987,0.07633595618394565,0.3737398214039821,-1.0063610076904297,0.880649983882904
19,149987,0.07706397651913555,0.3696500237744629,-1.0063610076904297,0.880649983882904
20,149987,0.07807680887103002,0.36816937596864646,-1.0063610076904297,0.880649983882904
21,149987,0.0791759582369025,0.3671480902689244,-1.0063610076904297,0.880649983882904
22,149987,0.08062780118499806,0.3668577953799825,-1.0063610076904297,0.880649983882904
23,149987,0.08240102806048726,0.3678139331562946,-1.0063610076904297,0.880649983882904
24,149987,0.0832538110634776,0.36879673597093005,-1.0063610076904297,0.880649983882904
25,149987,0.0832500938874131,0.3683185156379046,-1.0063610076904297,0.880649983882904
26,149987,0.08282616744258295,0.3662397542399744,-1.0063610076904297,0.880649983882904
27,149987,0.08218739229978579,0.36340534325923834,-1.0063610076904297,0.880649983882904
28,149987,0.08133666761580523,0.3600716735229226,-1.0063610076904297,0.880649983882904
29,149987,0.08089677405494647,0.3556623983065322,-1.0063610076904297,0.880649983882904
30,149987,0.0816463325364129,0.3517509788389169,-1.0063610076904297,0.880649983882904
31,149987,0.08212737188654379,0.3475279899106203,-1.0063610076904297,0.880649983882904
32,149987,0.08304458534030973,0.3430152115442193,-1.0063610076904297,0.880649983882904
33,149987,0.08565462106246194,0.33881411637760767,-1.0063610076904297,0.880649983882904
34,149987,0.03878846261173126,0.04100544816298781,-0.30558890104293823,0.2636542022228241
35,149987,0.13747400197463167,0.05773401800166728,-0.3399169147014618,0.348134845495224
36,149987,0.13673001285053907,0.07712286750240827,-0.35536476969718933,0.37907764315605164
37,149987,0.13029930349387736,0.08128821785189791,-0.39324429631233215,0.3767058551311493
38,149987,0.20187483282527485,0.12358173454106294,-0.4664413630962372,0.53300541639328
39,149987,0.12003415972360533,0.14284520314196097,-0.5174383521080017,0.5598599314689636
40,149987,0.2466136443143066,0.18161576466453688,-0.5597501397132874,0.6525241732597351
41,149987,0.10975118884525943,0.2059798529347979,-0.6112703680992126,0.7084683775901794
42,149987,0.277809240108722,0.2420398603769082,-0.6561905145645142,0.7518662810325623
43,149987,0.10372774692064415,0.26531731334530656,-0.7066442370414734,0.8038544654846191
44,149987,0.2978138367035714,0.29935464883922164,-0.8472282290458679,0.8080239295959473
45,149987,0.10421105892381796,0.31928454458707173,-0.8065344095230103,0.8854728937149048
46,149987,0.3087045807625411,0.3547931367651349,-0.8843755722045898,0.9134799838066101
47,149987,0.11464424750648382,0.3688284017252357,-0.9246800541877747,0.8793548941612244
48,149987,0.31200460026525123,0.4091524624226094,-0.9377264976501465,1.035601019859314
49,149987,0.1354470341748451,0.4141440292885351,-1.119126796722412,1.0064042806625366
50,149987,0.30953222829634214,0.462700589882531,-1.0791864395141602,1.129070520401001
51,149987,0.16493242835886007,0.4525481047388798,-1.169645071029663,1.1360348463058472
52,149987,0.30664377157095724,0.5180205075566501,-1.1943477392196655,1.2175456285476685
53,149987,0.1998565215242912,0.4791118369411781,-1.2416064739227295,1.2135076522827148
54,149987,0.04716137157384241,0.04221330198059131,-0.31964975595474243,0.2800632417201996
55,149987,-0.13144860474889997,0.05884462464470785,-0.404099702835083,0.23895759880542755
56,149987,0.17914837108218656,0.08384770450291348,-0.34819063544273376,0.3898889720439911
57,149987,-0.09639096119000248,0.08462118324339886,-0.4192729890346527,0.3828991651535034
58,149987,0.2618347555993497,0.11209787985981466,-0.5440655946731567,0.5110577344894409
59,149987,-0.04196539230017998,0.1707433720845474,-0.5011962652206421,0.5353990197181702
60,149987,0.3088470904899557,0.15956624378756287,-0.6338634490966797,0.6252288222312927
61,149987,0.00785855841131565,0.25291179953662973,-0.6355809569358826,0.6269626617431641
62,149987,0.33242008570478265,0.2210152095916559,-0.6809356808662415,0.7412030696868896
63,149987,0.04796499383733353,0.3250099044325795,-0.7750192284584045,0.7526953816413879
64,149987,0.3441202563456036,0.28624830216120384,-0.7668060660362244,0.8370862007141113
65,149987,0.07624083801124712,0.3817917192765036,-0.867457389831543,0.8072153329849243
66,149987,0.356582353102886,0.35557955154993287,-0.8169881701469421,0.9628087878227234
67,149987,0.0941070983417313,0.4213249125042524,-0.9249342083930969,0.8491216897964478
68,149987,0.3760312790637932,0.42323123510269545,-0.8916200995445251,1.0690596103668213
69,149987,0.11396344500048057,0.45211778305328687,-1.0334067344665527,0.9838175773620605
70,149987,0.399135132625431,0.47661979740880794,-0.991946816444397,1.1874854564666748
71,149987,0.14191964867267587,0.48707383500979284,-1.2082951068878174,1.1472777128219604
72,149987,0.42411850052351996,0.525811322767184,-1.1557068824768066,1.308276653289795
73,149987,0.1825015604387723,0.5154409601570501,-1.2360213994979858,1.268941044807434
74,149987,0.062406148993581434,0.36459310131507283,-0.9998520016670227,0.9994198083877563
