epoch;loss;lr;val_loss
0;0.02070895954966545;0.01;0.0029144815634936094
1;0.002351390663534403;0.01;0.0018734270706772804
2;0.0020009861327707767;0.01;0.001933665364049375
3;0.0014251916436478496;0.0009999999;0.0014630529331043363
4;0.0013739534188061953;0.0009999999;0.0014256100403144956
5;0.0013198892120271921;1e-04;0.001398492488078773
6;0.0013095404719933867;1e-04;0.0013900432968512177
7;0.001308256178162992;1e-04;0.001393133425153792
8;0.001308881095610559;1e-04;0.0013955425238236785
9;0.0013078938936814666;1e-04;0.0013813517289236188
10;0.00130616151727736;1e-04;0.0013808532385155559
11;0.0013005429646000266;1e-04;0.0013795510167255998
12;0.0012936571147292852;1e-04;0.0013805229682475328
13;0.0012930651428177953;1e-04;0.0013742223381996155
14;0.0012885208707302809;1e-04;0.0013762309681624174
