s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
6.581969,-3.284690,4.539013,1.303542,-0.237350,3.173969,-3.758338,0.871818,1.443236
6.681696,-3.380484,4.566681,1.273606,-0.363187,3.053599,-2.938066,0.826613,1.498271
6.781423,-3.475167,4.597783,1.231172,-0.484412,2.956088,-2.448079,0.777994,1.560520
6.881150,-3.568083,4.633321,1.178272,-0.576641,2.872313,-2.079112,0.735275,1.628256
6.980876,-3.659078,4.674244,1.116751,-0.658085,2.799195,-1.600769,0.692593,1.696884
7.080603,-3.746879,4.720889,1.046599,-0.752638,2.741572,-1.276264,0.650851,1.772526
7.180330,-3.831676,4.774465,0.966702,-0.824810,2.694747,-1.011470,0.614849,1.853978
7.280057,-3.911577,4.834715,0.881686,-0.886279,2.657051,-0.190635,0.585685,1.940061
7.379784,-3.985200,4.901279,0.787598,-1.006236,2.649886,-0.186304,0.563992,1.873099
7.479511,-4.051840,4.974693,0.686482,-1.009219,2.642865,-0.027726,0.549548,1.791193
7.579237,-4.111361,5.055036,0.590653,-0.903129,2.641819,-0.937211,0.534836,1.716844
7.678964,-4.163370,5.140643,0.501111,-0.910342,2.606200,-0.164350,0.519145,1.651931
7.778691,-4.207127,5.230419,0.403362,-1.049135,2.599903,-0.026111,0.513299,1.597284
7.878418,-4.241271,5.323902,0.296662,-1.069920,2.598901,-0.026111,0.516483,1.542264
7.978145,-4.265318,5.420078,0.195043,-0.977569,2.597899,0.618348,0.528186,1.501439
8.077871,-4.279927,5.518781,0.099200,-0.956504,2.621529,0.640162,0.548578,1.472764
8.177598,-4.285004,5.618689,0.001961,-0.965768,2.645769,0.446930,0.576811,1.447261
8.277325,-4.280529,5.718267,-0.090396,-0.882923,2.662562,0.953674,0.611431,1.422096
8.377052,-4.267348,5.816934,-0.173892,-0.808088,2.698046,1.327348,0.651813,1.387178
8.476779,-4.246198,5.914391,-0.253049,-0.780916,2.746670,1.306722,0.687242,1.305516
8.576505,-4.217518,6.009919,-0.329875,-0.753942,2.793712,1.293056,0.726700,1.224442
8.676232,-4.181759,6.103001,-0.403012,-0.712987,2.839495,1.408005,0.767465,1.151370
8.775959,-4.139484,6.193284,-0.472237,-0.677722,2.888522,1.479695,0.803888,1.088038
8.875686,-4.091192,6.280528,-0.538378,-0.649071,2.939165,1.504112,0.844618,1.026979
8.975413,-4.037361,6.364457,-0.601780,-0.622115,2.989765,1.527269,0.889129,0.964973
9.075139,-3.978426,6.444891,-0.662472,-0.595358,3.040282,1.572349,0.936944,0.913752
9.174866,-3.914822,6.521682,-0.720612,-0.571096,3.091427,1.607263,0.987634,0.868634
9.274593,-3.846951,6.594726,-0.776421,-0.548447,3.142849,1.637565,1.040811,0.825407
9.374320,-3.775180,6.663956,-0.830057,-0.527408,3.194388,1.662745,1.091773,0.788861
9.474047,-3.699880,6.729308,-0.881646,-0.507531,3.245883,1.686866,1.135176,0.758891
9.573773,-3.621351,6.790779,-0.931333,-0.489017,3.297303,1.722166,1.173270,0.727700
9.673500,-3.539941,6.848332,-0.979205,-0.471368,3.348985,1.758244,1.214035,0.695976
9.773227,-3.455889,6.902013,-1.025392,-0.455014,3.400939,1.788213,1.251823,0.682234
9.872954,-3.369518,6.951808,-1.069977,-0.439443,3.452977,1.817684,1.283802,0.666861
9.972681,-3.281015,6.997788,-1.113080,-0.425054,3.505082,1.839649,1.306633,0.650213
10.072407,-3.190678,7.039959,-1.154770,-0.411305,3.557038,1.847522,1.323791,0.652857
10.172134,-3.098650,7.078406,-1.195149,-0.398509,3.608465,1.852529,1.344183,0.644278
10.271861,-3.005203,7.113152,-1.234265,-0.386209,3.659305,1.860029,1.355752,0.643045
10.371588,-2.910452,7.144285,-1.272206,-0.374675,3.709650,1.865592,1.369116,0.660858
10.471315,-2.814635,7.171848,-1.309005,-0.363519,3.759468,1.878797,1.375186,0.657833
10.571042,-2.717854,7.195926,-1.344740,-0.353129,3.808980,1.908271,1.358194,0.671012
10.670768,-2.620305,7.216577,-1.379446,-0.343042,3.858619,1.939031,1.341865,0.695978
10.770495,-2.522094,7.233881,-1.413189,-0.333681,3.908413,1.964359,1.329412,0.704648
10.870222,-2.423366,7.247907,-1.446008,-0.324600,3.958218,1.990897,1.321054,0.730181
10.969949,-2.324239,7.258729,-1.477953,-0.316121,4.008064,2.009734,1.316969,0.765092
11.069676,-2.224810,7.266422,-1.509066,-0.307924,4.057762,2.011539,1.317285,0.786078
11.169402,-2.125206,7.271058,-1.539388,-0.300272,4.106901,2.010689,1.322079,0.821564
11.269129,-2.025491,7.272709,-1.568961,-0.292892,4.155439,2.011390,1.331375,0.856293
11.368856,-1.925788,7.271448,-1.597820,-0.285949,4.203434,2.010299,1.345142,0.895550
11.468583,-1.826144,7.267343,-1.626000,-0.279271,4.250861,2.009570,1.358102,0.938849
11.568310,-1.726669,7.260466,-1.653531,-0.272936,4.297747,1.979168,1.373801,0.981886
11.668036,-1.627404,7.250883,-1.680445,-0.266968,4.343430,1.949439,1.393836,1.028789
11.767763,-1.528440,7.238662,-1.706790,-0.261438,4.387962,1.918387,1.418060,1.076910
11.867490,-1.429822,7.223864,-1.732600,-0.256398,4.431347,1.884457,1.446301,1.128093
11.967217,-1.331614,7.206550,-1.757944,-0.251895,4.473556,1.846222,1.478357,1.182492
12.066944,-1.233877,7.186775,-1.782851,-0.247808,4.514525,1.819413,1.514004,1.232209
12.166670,-1.136646,7.164587,-1.807380,-0.244113,4.554539,1.813526,1.526605,1.288004
12.266397,-1.040002,7.140044,-1.831550,-0.240788,4.594076,1.802723,1.540701,1.350721
12.366124,-0.943949,7.113180,-1.855414,-0.237753,4.633044,1.788487,1.542376,1.406849
12.465851,-0.848592,7.084056,-1.878983,-0.235143,4.671383,1.767693,1.538115,1.466502
12.565578,-0.753905,7.052691,-1.902322,-0.232827,4.708969,1.743039,1.535968,1.532101
12.665304,-0.660015,7.019151,-1.925441,-0.231090,4.745740,1.707975,1.526297,1.599672
12.765031,-0.566874,6.983437,-1.948422,-0.229691,4.781496,1.654060,1.520417,1.662743
12.864758,-0.474627,6.945620,-1.971272,-0.228800,4.815871,1.590229,1.509443,1.723645
12.964485,-0.383213,6.905684,-1.994066,-0.228214,4.848690,1.523106,1.499898,1.788744
13.064212,-0.292785,6.863704,-2.016807,-0.228058,4.879916,1.449574,1.494685,1.858489
13.163939,-0.203282,6.819650,-2.039561,-0.228159,4.909450,1.373708,1.488614,1.868082
13.263665,-0.114854,6.773597,-2.062332,-0.228695,4.937276,1.291034,1.479838,1.796017
13.363392,-0.027453,6.725514,-2.085186,-0.229537,4.963285,1.204785,1.475477,1.728353
13.463119,0.058788,6.675467,-2.108000,-0.227613,4.987434,1.191356,1.475573,1.662898
13.562846,0.143901,6.623458,-2.130591,-0.225416,5.011199,1.188203,1.480139,1.601362
13.662573,0.227802,6.569567,-2.152800,-0.219492,5.034790,1.282751,1.489157,1.544565
13.762299,0.310519,6.513842,-2.174373,-0.213129,5.060134,1.387176,1.502598,1.489088
13.862026,0.392015,6.456383,-2.195353,-0.207765,5.087399,1.464504,1.519629,1.436101
13.961753,0.472319,6.397236,-2.215814,-0.202561,5.116027,1.537383,1.535292,1.384824
14.061480,0.551392,6.336490,-2.235849,-0.199469,5.145908,1.554338,1.555234,1.334812
14.161207,0.629261,6.274168,-2.255603,-0.196641,5.175943,1.565459,1.579327,1.286555
14.260933,0.705874,6.210347,-2.275067,-0.193761,5.206018,1.579318,1.604518,1.245452
14.360660,0.781258,6.145041,-2.294252,-0.190957,5.236184,1.592330,1.630810,1.209852
14.460387,0.855366,6.078328,-2.313176,-0.188649,5.266424,1.587061,1.652440,1.179381
14.560114,0.928225,6.010214,-2.331881,-0.186426,5.296392,1.576362,1.663984,1.132106
14.659841,0.999785,5.940777,-2.350365,-0.184325,5.325991,1.564147,1.679550,1.083868
14.759567,1.070076,5.870016,-2.368647,-0.182290,5.355199,1.551964,1.699053,1.035829
14.859294,1.139050,5.798009,-2.386732,-0.180449,5.384022,1.536050,1.714409,0.997200
14.959021,1.206736,5.724752,-2.404640,-0.178667,5.412400,1.520294,1.730809,0.969079
15.058748,1.273087,5.650322,-2.422370,-0.176957,5.440340,1.504254,1.742210,0.932151
15.158475,1.338132,5.574711,-2.439937,-0.175309,5.467845,1.488159,1.755613,0.898700
15.258201,1.401828,5.497996,-2.457347,-0.173900,5.494920,-0.121521,1.763072,0.871137
15.357928,1.464201,5.420166,-2.474623,-0.172541,5.492714,-1.741276,1.773568,0.841488
15.457655,1.525209,5.341296,-2.491762,-0.171219,5.461007,-1.852045,1.778006,0.815426
15.557382,1.584878,5.261374,-2.508775,-0.169951,5.427081,-1.964940,1.783380,0.791482
15.657109,1.643168,5.180475,-2.525664,-0.168791,5.390853,-2.078339,1.784392,0.759379
15.756835,1.700103,5.098583,-2.542443,-0.167678,5.352267,-2.194150,1.777617,0.706524
15.856562,1.755645,5.015773,-2.559110,-0.166629,5.311227,-2.311953,1.771998,0.662173
15.956289,1.809819,4.932029,-2.575679,-0.165627,5.267637,-2.432794,1.770325,0.632202
16.056016,1.862588,4.847425,-2.592147,-0.164698,5.221376,-2.546274,1.772620,0.598831
16.155743,1.913974,4.761942,-2.608530,-0.163812,5.172515,-2.654250,1.778877,0.572777
16.255470,1.963943,4.675654,-2.624822,-0.162979,5.121085,-2.763400,1.789060,0.565052
16.355196,2.012516,4.588542,-2.641037,-0.162109,5.066985,-2.875839,1.798276,0.550106
16.454923,2.059663,4.500680,-2.657132,-0.160713,5.010064,-3.004397,1.810652,0.531477
16.554650,2.105407,4.412050,-2.673093,-0.159358,4.949899,-3.142319,1.822250,0.507716
16.654377,2.149725,4.322731,-2.688915,-0.157997,4.886180,-3.287205,1.827145,0.494335
16.754104,2.192643,4.232696,-2.704616,-0.158116,4.818621,-3.309666,1.831345,0.502396
16.853830,2.234111,4.142023,-2.720848,-0.167475,4.749630,-3.187322,1.839370,0.503893
16.953557,2.274074,4.050635,-2.738021,-0.177123,4.682229,-3.030724,1.837351,0.517751
17.053284,2.312399,3.958594,-2.756258,-0.188710,4.617226,-2.884072,1.837750,0.528038
17.153011,2.349001,3.865805,-2.775659,-0.200240,4.554507,-2.756327,1.840069,0.535453
17.252738,2.383727,3.772350,-2.796186,-0.211541,4.493749,-2.687907,1.832405,0.541572
17.352464,2.416490,3.678133,-2.817852,-0.222896,4.433696,-2.621504,1.828044,0.538669
17.452191,2.447134,3.583265,-2.840657,-0.234596,4.374334,-2.563551,1.826903,0.548555
17.551918,2.475567,3.487649,-2.864644,-0.246328,4.315494,-2.513835,1.814576,0.561849
17.651645,2.501627,3.391423,-2.889789,-0.258115,4.257005,-2.439028,1.804412,0.554960
17.751372,2.525217,3.294496,-2.916129,-0.269939,4.199479,-2.370416,1.794809,0.549981
17.851098,2.546175,3.197033,-2.943620,-0.281590,4.142805,-2.307476,1.775091,0.565519
17.950825,2.564401,3.098955,-2.972299,-0.293340,4.086881,-2.253800,1.758020,0.598203
18.050552,2.579739,3.000453,-3.002121,-0.304983,4.031510,-2.193797,1.743594,0.610187
18.150279,2.592084,2.901461,-3.033137,-0.316819,3.976872,-2.125536,1.729917,0.636842
18.250006,2.601289,2.802198,-3.065311,-0.328718,3.923208,-2.058886,1.700542,0.665429
18.349732,2.607239,2.702618,-3.098712,-0.340907,3.870518,-1.996627,1.668680,0.697811
18.449459,2.609799,2.602961,-3.133308,-0.353203,3.818727,-1.934429,1.632328,0.732803
18.549186,2.608847,2.503209,3.114010,-0.365891,3.767870,-1.895680,1.593322,0.759734
18.648913,2.604260,2.403623,3.076904,-0.378568,3.717357,-1.865723,1.551789,0.791957
18.748640,2.595912,2.304221,3.038482,-0.391794,3.666963,-1.842198,1.505217,0.832167
18.848367,2.583694,2.205275,2.998761,-0.405137,3.616516,-1.816891,1.456019,0.871641
18.948093,2.567480,2.106856,2.957649,-0.419227,3.566063,-1.797331,1.405301,0.923673
19.047820,2.547176,2.009241,2.915142,-0.433546,3.515440,-1.762305,1.347173,0.978777
19.147547,2.522664,1.912566,2.871144,-0.448839,3.465086,-1.736721,1.287573,1.028569
19.247274,2.493857,1.817102,2.825657,-0.463631,3.414736,-1.704705,1.226513,1.082423
19.347001,2.460665,1.723067,2.778630,-0.479631,3.364583,-1.689805,1.166921,1.138542
19.446727,2.423015,1.630719,2.730040,-0.494927,3.314118,-1.667329,1.098938,1.202109
19.546454,2.380861,1.540361,2.679863,-0.511687,3.263560,-1.660336,1.030067,1.260060
19.646181,2.334137,1.452240,2.627965,-0.529115,3.212423,-1.649753,0.962604,1.213741
19.745908,2.282855,1.366749,2.574264,-0.548388,3.160793,-1.632964,0.896989,1.151181
19.845635,2.226940,1.284139,2.518524,-0.569425,3.108844,-1.605188,0.833626,1.089697
19.945361,2.166471,1.204898,2.460611,-0.592756,3.056919,-1.563485,0.773206,1.034364
20.045088,2.101370,1.129307,2.400201,-0.618710,3.005480,-1.518597,0.716387,0.991349
20.144815,2.031795,1.057942,2.337109,-0.647544,2.954661,-1.458353,0.664198,0.940869
20.244542,1.957688,0.991154,2.270942,-0.679416,2.905021,-1.373042,0.617664,0.900266
20.344269,1.879309,0.929604,2.201469,-0.715042,2.857497,-1.229476,0.578168,0.858343
20.443995,1.796653,0.873741,2.128069,-0.757552,2.814261,-1.028410,0.546995,0.830920
20.543722,1.710114,0.824338,2.050196,-0.805711,2.777579,-0.792439,0.525452,0.802433
20.643449,1.619783,0.781989,1.967355,-0.855305,2.748980,-0.446075,0.514352,0.791386
20.743176,1.526293,0.747542,1.879341,-0.911969,2.732749,-0.273944,0.500328,0.784310
20.842903,1.429940,0.721662,1.786635,-0.941870,2.722734,-0.028636,0.492490,0.792505
20.942629,1.331730,0.704966,1.691175,-0.975563,2.721685,-0.028636,0.495399,0.817952
21.042356,1.232306,0.697733,1.597431,-0.882924,2.720635,0.665962,0.502643,0.836354
21.142083,1.132639,0.699272,1.515197,-0.767788,2.744938,1.413568,0.507112,0.866497
21.241810,1.033382,0.708417,1.444744,-0.643017,2.795823,2.150265,0.523320,0.900230
21.341537,0.934867,0.723911,1.386979,-0.515732,2.871499,2.889589,0.551305,0.943390
21.441263,0.837323,0.744439,1.341867,-0.389139,2.970159,3.664179,0.590389,0.987451
21.540990,0.740575,0.768756,1.309343,-0.263176,3.090740,4.551283,0.639546,1.019127
21.640717,0.644536,0.795600,1.289139,-0.142659,3.234261,5.544154,0.690697,0.942850
21.740444,0.548869,0.823813,1.280872,-0.023165,3.400919,-4.080959,0.746433,0.872342
