# This is F1TENTH simulation from 10.01.2024 at time 14:55:36
# Done with git-revision: unknown
# Starting position :,""[0.0, 0.0, 0.0]""
# Saving: 0.04 s
# Speedfactor 0.5
# Controller: Random input
#
# Data:
time,angular_control,translational_control,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,experiment_index,D_pose_x,D_pose_y,D_pose_theta,D_pose_theta_sin,D_pose_theta_cos,D_linear_vel_x,D_angular_vel_z,D_slip_angle,D_steering_angle,D_car_pose_x,D_car_pose_y
4.56,0.09184338,7.8033895,0.00460672,3.2823968,-6.6206036,0.9436125,-0.33105204,-24.212574,-35.857353,0.0008278677,0.011103437,9,2.84276,-0.9958267,-0.053346157,-0.050356984,-0.017605722,9.010005,1.9988819,0.063677244,0.20177484,3.0121343,0.0014269352
4.6,0.09184338,7.8033895,0.098057,3.642797,-6.6197877,0.9438823,-0.33028206,-24.085232,-35.901875,0.0019362776,0.043399416,9,3.1835556,-1.1130333,0.02039671,0.01924932,0.0067442656,9.010005,2.336257,0.027710248,0.80739945,3.3725166,0.00089895725
4.64,0.09184338,7.8033895,0.25391406,4.003197,-6.6142473,0.94569767,-0.32504755,-23.944143,-35.950752,0.0016078734,0.062777005,9,3.5272121,-1.2219429,0.13850927,0.13086274,0.045384467,9.010005,3.8964264,-0.008210106,0.48443973,3.7328658,-0.009076834
4.68,0.09184338,7.8033895,0.37833375,4.3635974,-6.602696,0.9493892,-0.314102,-23.789122,-36.00344,-0.0022768825,0.07440356,9,3.8755417,-1.317215,0.2887845,0.27363896,0.09228885,9.010005,3.1104922,-0.0971189,0.2906639,4.0931373,-0.033234358
4.72,0.09184338,7.8033895,0.45050725,4.7239976,-6.586695,0.9542934,-0.29887152,-23.619986,-36.05938,-0.0084803,0.081379496,9,4.228401,-1.398468,0.4000187,0.38076192,0.122603774,9.010005,1.8043376,-0.15508544,0.17439835,4.4530973,-0.070800066
4.76,0.09184338,7.8033895,0.47634563,5.084398,-6.5683074,0.95962733,-0.28127462,-23.436552,-36.117966,-0.015358269,0.08556505,9,4.5858383,-1.464653,0.45969486,0.4399225,0.133349,9.010005,0.6459594,-0.17194922,0.104638934,4.8126655,-0.11564112
4.8,0.017933864,1.9747965,0.47006747,5.444798,-6.5492496,0.9648132,-0.26293632,-23.238653,-36.1786,-0.021716265,0.08807639,9,4.9474716,-1.5158653,0.47644377,0.45845732,0.12964606,9.010005,-0.15695393,-0.1589499,0.062783435,5.1719623,-0.16165686
4.84,0.017933864,1.9747965,1.2252741,5.084398,-6.5205693,0.9719565,-0.23516081,-23.033005,-36.23847,-0.033670597,0.06001938,9,5.1412106,-1.4966965,0.7170081,0.6943878,0.17858297,-9.010005,18.880165,-0.29885828,-0.7014252,5.3489976,-0.24571264
4.88,0.017933864,1.9747965,1.426078,4.7239976,-6.4690614,0.98277473,-0.18480758,-22.840328,-36.29123,-0.06834176,0.043185174,9,4.8169136,-1.319027,1.2876987,1.2588307,0.27045608,-9.010005,5.020097,-0.86677915,-0.42085516,4.9777074,-0.4061042
4.92,0.017933864,1.9747965,1.504892,4.3635974,-6.4111753,0.99182045,-0.12764078,-22.660685,-36.336884,-0.10218464,0.033084653,9,4.491091,-1.1413574,1.4471531,1.42917,0.226143,-9.010005,1.9703507,-0.8460719,-0.25251302,4.6000395,-0.5587753
4.96,0.017933864,1.9747965,1.5545803,4.003197,-6.350463,0.9977377,-0.067226864,-22.493969,-36.37463,-0.12978649,0.027024336,9,4.1678905,-0.94366074,1.5178084,1.510348,0.14793128,-9.010005,1.2422085,-0.6900463,-0.15150793,4.221901,-0.66133165
5.0,0.017933864,1.9747965,1.5738332,3.642797,-6.2880087,0.9999884,-0.004823364,-22.340189,-36.403767,-0.14976102,0.023388147,9,3.8444996,-0.72841644,1.5613556,1.5600876,0.056266785,-9.010005,0.4813224,-0.49936324,-0.09090472,3.8479683,-0.70986456
5.04,0.18674119,1.9747965,1.541507,3.2823968,-6.225237,0.9983215,0.05791599,-22.199533,-36.423958,-0.16104378,0.021206435,9,3.516388,-0.5047798,1.5692949,1.5684838,-0.041672587,-9.010005,-0.80815554,-0.2820689,-0.054542813,3.4812508,-0.7075876
5.08,0.18674119,1.9747965,1.6508856,2.9219966,-6.1644177,0.99295545,0.11848855,-22.072361,-36.435318,-0.15755436,0.08742033,9,3.1793118,-0.2840042,1.5204787,1.514314,-0.13415068,-9.010005,2.7344644,0.087235495,1.6553473,3.1232636,-0.6587156
5.12,0.18674119,1.9747965,2.0115027,2.5615964,-6.0940213,0.98216176,0.18803786,-21.95913,-36.437492,-0.144477,0.12714867,9,2.8307915,-0.054359436,1.7599106,1.7387327,-0.26984215,-9.010005,9.015429,0.32693407,0.9932086,2.7700734,-0.58568573
5.16,0.18674119,1.9747965,2.102655,2.2011962,-6.0117083,0.96337587,0.26815468,-21.86052,-36.430862,-0.13111511,0.15098567,9,2.465248,0.1657486,2.0578265,2.0029206,-0.46964735,-9.010005,2.2788048,0.33404714,0.595925,2.4194067,-0.5013896
5.2,0.18674119,2.0870006,1.3772734,2.0380073,-5.9384685,0.94117117,0.3379302,-21.775375,-36.416313,-0.086955294,0.16528787,9,2.128601,0.36373138,1.8309951,1.744388,-0.5551174,-4.0797234,-18.134537,1.1039953,0.35755485,2.1262937,-0.37698507
5.24,0.18674119,2.0870006,0.91249967,2.046836,-5.891768,0.9243693,0.38149893,-21.697115,-36.393295,-0.030341081,0.17386921,9,1.9565105,0.5754471,1.1675119,1.0892183,-0.42004734,0.220716,-11.619345,1.4153553,0.21453351,2.0280707,-0.21448106
5.28,-0.35047832,2.0870006,0.9837893,2.0540738,-5.8545647,0.9095399,0.4156166,-21.621037,-36.362885,0.003173408,0.179018,9,1.9019604,0.76026917,0.9300828,0.8529417,-0.37073493,0.18094778,1.7822415,0.83786225,0.12871996,2.0458894,-0.098991215
5.32,-0.35047832,2.0870006,0.74580795,2.060007,-5.8145647,0.8921921,0.451656,-21.546865,-36.32742,0.007504365,0.051018,9,1.8542767,0.886631,0.99999905,0.9009853,-0.43369383,0.14833212,-5.9495344,0.10827392,-3.2,2.0548232,-0.04645002
5.36,-0.35047832,2.0870006,0.03027612,2.0648713,-5.791677,0.881622,0.4719562,-21.473719,-36.28938,-0.00950345,-0.07698201,9,1.8286705,0.951004,0.57219267,0.50750446,-0.26425272,0.121605396,-17.888296,-0.42519537,-3.2,2.0610285,-0.024626255
5.4,-0.35047832,2.0870006,-0.6796935,2.068859,-5.797959,0.88456935,0.46640867,-21.400333,-36.251392,-0.026732367,-0.18638055,9,1.834631,0.9496689,-0.15704632,-0.13868809,0.07368326,0.09969473,-17.74924,-0.4307229,-2.7349637,2.065792,-0.015639842
5.44,-0.35047832,2.0870006,-1.2327878,2.0721283,-5.8316774,0.8997902,0.43632278,-21.325714,-36.215546,-0.038793057,-0.25201964,9,1.8654823,0.89616776,-0.84296465,-0.75214726,0.380522,0.08172989,-13.827358,-0.30151728,-1.6409774,2.069561,-0.0075894594
5.48,-0.35047832,2.0870006,-1.5726998,2.0748081,-5.8850374,0.92178065,0.38771176,-21.249306,-36.18338,-0.044627488,-0.2914031,9,1.9102097,0.8041382,-1.3339996,-1.2152754,0.54976046,0.06699562,-8.497798,-0.14586076,-0.9845868,2.0725682,0.00062823296
5.52,0.15829097,2.0870006,-1.7774677,2.0770054,-5.950387,0.9451319,0.32668906,-21.170967,-36.155945,-0.047292992,-0.3150332,9,1.9584656,0.68588257,-1.6337395,-1.5255674,0.5837813,0.05493164,-5.1191983,-0.06663762,-0.59075207,2.0750787,0.0084401965
5.56,0.15829097,2.0870006,-1.5823427,2.0788064,-6.022957,0.96633124,0.25730133,-21.090834,-36.134,-0.037621878,-0.18703318,9,2.003336,0.54864883,-1.8142462,-1.7346933,0.52998364,0.04502535,4.8781247,0.24177785,3.2000005,2.0770543,0.014715493
5.6,0.15829097,6.98776,-0.8509903,2.0802832,-6.0791516,0.9792572,0.20262097,-21.009546,-36.116432,-0.013943798,-0.05903317,9,2.0321846,0.43916702,-1.4048696,-1.367009,0.32314956,0.036919117,18.283812,0.591952,3.2,2.079016,0.018294245
5.64,0.15829097,6.98776,-0.17494175,2.4406834,-6.103784,0.98395073,0.17844044,-20.924202,-36.10053,-0.0033833436,0.027896486,9,2.1336079,0.39758682,-0.61581135,-0.6045133,0.1173377,9.010005,16.901215,0.26401135,2.1732414,2.1703105,0.010483921
