# This is F1TENTH simulation from 10.01.2024 at time 14:55:37
# Done with git-revision: unknown
# Starting position :,""[0.0, 0.0, 0.0]""
# Saving: 0.04 s
# Speedfactor 0.5
# Controller: Random input
#
# Data:
time,angular_control,translational_control,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,experiment_index,D_pose_x,D_pose_y,D_pose_theta,D_pose_theta_sin,D_pose_theta_cos,D_linear_vel_x,D_angular_vel_z,D_slip_angle,D_steering_angle,D_car_pose_x,D_car_pose_y
0.0,-0.12615378,5.3932633,0.0,5.0,0.0,1.0,0.0,-22.32036,-22.239882,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,-0.12615378,5.3932633,-0.10442509,5.0708656,0.0,1.0,0.0,-22.119652,-22.239882,-0.0014655826,-0.050461512,0,5.0177097,0.0,0.0,0.0,0.0,1.7716408,-2.6106272,-0.036639567,-1.2615378,5.0177097,0.0
0.08,-0.12615378,5.3932633,-0.47323385,5.1289616,-0.007790547,0.99996966,-0.007790468,-21.916237,-22.240467,-0.00020093331,-0.08073842,0,5.085373,-0.014638901,-0.19476368,-0.19476171,-0.0007584691,1.4523983,-9.220219,0.031616233,-0.75692266,5.0853324,0.024978977
0.12,-0.12615378,5.3932633,-0.8351983,5.176589,-0.030611992,0.9995315,-0.03060721,-21.710615,-22.24262,0.011526937,-0.09890456,0,5.140543,-0.053834915,-0.57053614,-0.57041854,-0.010953844,1.1906862,-9.04911,0.29319674,-0.4541535,5.1397824,0.103527986
0.16,-0.12615378,5.3932633,-1.1052974,5.2156334,-0.06705007,0.99775296,-0.06699984,-21.503216,-22.247375,0.031128503,-0.10980425,0,5.184984,-0.1188755,-0.91095185,-0.90981567,-0.044463575,0.9761095,-6.752479,0.49003917,-0.27249232,5.181298,0.22878471
0.2,-0.12615378,5.3932633,-1.2797071,5.2476425,-0.113284454,0.9935902,-0.1130423,-21.29445,-22.256014,0.054033227,-0.11634406,0,5.2191257,-0.21595955,-1.1558596,-1.1510617,-0.10406971,0.8002281,-4.3602405,0.57261807,-0.16349517,5.210085,0.37540668
0.24,-0.061329346,5.3932633,-1.3810197,5.273884,-0.16569087,0.98630464,-0.16493377,-21.08475,-22.269941,0.07664825,-0.12026795,0,5.2425385,-0.3481865,-1.3101604,-1.2972867,-0.18213838,0.65603256,-2.532816,0.56537557,-0.098097324,5.228168,0.5212537
0.28,-0.061329346,5.3932633,-1.3775742,5.295396,-0.22160645,0.97554564,-0.21979707,-20.874592,-22.290525,0.09767157,-0.09669251,0,5.253935,-0.51460266,-1.3978895,-1.3715826,-0.2689749,0.5378008,0.08613765,0.52558297,0.589386,5.2385616,0.65278107
0.32,-0.061329346,5.3932633,-1.2026091,5.313031,-0.27510387,0.962397,-0.2716469,-20.664484,-22.318657,0.113879345,-0.08254724,0,5.252695,-0.7032871,-1.3374355,-1.2962453,-0.32871664,0.44088364,4.374129,0.40519443,0.35363176,5.2462234,0.75003684
0.36,-0.061329346,5.3932633,-1.0151496,5.327489,-0.32126293,0.9488374,-0.3157651,-20.454926,-22.354826,0.12104839,-0.07406008,0,5.238962,-0.9042263,-1.1539764,-1.1029557,-0.3389895,0.36144257,4.6864867,0.17922615,0.21217895,5.2564464,0.79631776
