# This is F1TENTH simulation from 10.01.2024 at time 14:55:36
# Done with git-revision: unknown
# Starting position :,""[0.0, 0.0, 0.0]""
# Saving: 0.04 s
# Speedfactor 0.5
# Controller: Random input
#
# Data:
time,angular_control,translational_control,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,experiment_index,D_pose_x,D_pose_y,D_pose_theta,D_pose_theta_sin,D_pose_theta_cos,D_linear_vel_x,D_angular_vel_z,D_slip_angle,D_steering_angle,D_car_pose_x,D_car_pose_y
0.0,-0.024097871,3.7199852,0.0,5.0,0.0,1.0,0.0,-11.206403,-49.77886,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,-0.024097871,3.7199852,-0.030209407,4.6396,0.0,1.0,0.0,-11.010006,-49.77886,-0.00044295078,-0.009639149,0,4.9099207,0.0,0.0,0.0,0.0,-9.010005,-0.7552352,-0.01107377,-0.24097872,4.9099207,0.0
0.08,-0.024097871,3.7199852,-0.12901545,4.2791996,-0.0021916626,0.9999976,-0.0021916607,-10.828027,-49.77901,-6.345933e-05,-0.015422638,0,4.5494795,-0.0038146973,-0.054791566,-0.054791518,-5.9604645e-05,-9.010005,-2.470151,0.009487286,-0.14458722,4.549477,0.0061562276
0.12,-0.024097871,3.7199852,-0.22551039,3.9187994,-0.008374587,0.99996495,-0.008374489,-10.660463,-49.7795,0.0031507786,-0.018892732,0,4.189086,-0.012207031,-0.1545731,-0.1545707,-0.00081658363,-9.010005,-2.4123735,0.08035595,-0.08675235,4.189041,0.02287485
0.16,-0.024097871,3.7199852,-0.24888389,3.775494,-0.017615104,0.99984485,-0.017614193,-10.505148,-49.780476,0.0075715976,-0.020974789,0,3.882885,-0.024414062,-0.23101294,-0.23099262,-0.003002584,-3.5826325,-0.5843375,0.110520475,-0.052051432,3.8827126,0.043983612
0.2,-0.024097871,3.7199852,-0.23726551,3.7354832,-0.027398795,0.99962467,-0.027395368,-10.354539,-49.78223,0.01056845,-0.02222402,0,3.7652254,-0.04386902,-0.24459228,-0.24452935,-0.005504489,-1.0002732,0.2904594,0.07492132,-0.031230785,3.7650142,0.05929718
0.24,0.008287483,3.7199852,-0.22774759,3.7243123,-0.036754906,0.9993246,-0.036746632,-10.205257,-49.785034,0.011981637,-0.02297356,0,3.7320375,-0.07009506,-0.23390278,-0.23378162,-0.0075012445,-0.2792716,0.23794807,0.035329673,-0.01873849,3.7320929,0.06709209
0.28,0.008287483,3.7199852,-0.19542648,3.7211933,-0.045815345,0.99895066,-0.04579932,-10.05637,-49.789036,0.01311487,-0.010469142,0,3.7221909,-0.100040436,-0.22651097,-0.22631715,-0.0093489885,-0.0779748,0.80802774,0.028330809,0.31261045,3.7228668,0.07053834
0.32,0.008287483,3.7199852,-0.10565424,3.7203226,-0.052708473,0.9986112,-0.052684072,-9.907619,-49.794147,0.013613441,-0.0029664924,0,3.7187576,-0.12779236,-0.1723282,-0.17211884,-0.008486211,-0.021767616,2.244306,0.012464286,0.18756625,3.7203257,0.068304405
0.36,0.008287483,3.7199852,-0.030508209,3.7200794,-0.056100342,0.9984268,-0.05607092,-9.758931,-49.800163,0.011894188,0.0015350976,0,3.717208,-0.15039444,-0.084796734,-0.08467119,-0.0046104193,-0.0060796738,1.8786508,-0.042981327,0.11253975,3.7197928,0.058269426
