epoch;loss;lr;val_loss
0;0.0028594029136002064;0.001;0.0012150307884439826
1;0.0018173732096329331;0.001;0.0011413241736590862
2;0.001428477931767702;0.00031600002;0.0007409313111566007
3;0.0013899849727749825;0.00031600002;0.0007136649801395833
4;0.0012910328805446625;9.9856006e-05;0.0006235988694243133
5;0.0012793457135558128;9.9856006e-05;0.0006175718153826892
6;0.00124541821423918;3.1554497e-05;0.0005916457739658654
7;0.0012341431574895978;1e-05;0.0005862406687811017
8;0.0012327005388215184;1e-05;0.0005890388856641948
9;0.0012315856292843819;1e-05;0.0005872610490769148
