epoch;loss;lr;val_loss
0;0.41517800092697144;0.01;0.4031623601913452
1;0.39069461822509766;0.01;0.3997269868850708
2;0.3830679953098297;0.01;0.39473870396614075
3;0.3786814212799072;0.01;0.39852166175842285
4;0.3648686110973358;0.0009999999;0.39486435055732727
5;0.361187219619751;1e-04;0.3951036334037781
6;0.3606692850589752;1e-04;0.39550113677978516
7;0.36031609773635864;1e-04;0.395889550447464
8;0.35999342799186707;1e-04;0.39594483375549316
9;0.3597208261489868;1e-04;0.3959881365299225
10;0.3594358265399933;1e-04;0.39633694291114807
11;0.3591519892215729;1e-04;0.3967600464820862
12;0.358847439289093;1e-04;0.396860808134079
13;0.3585987091064453;1e-04;0.39719322323799133
14;0.3583090901374817;1e-04;0.397171288728714
