epoch;loss;lr;val_loss
0;0.00804835744202137;0.001;0.0022746329195797443
1;0.0020635025575757027;0.001;0.0017447469290345907
2;0.0014560853596776724;0.001;0.001245529972948134
3;0.00114727474283427;0.001;0.0008912605699151754
4;0.0009977176086977124;0.001;0.0007222415879368782
5;0.0008729402907192707;0.001;0.0016885048244148493
6;0.00036146739148534834;0.00031600002;0.00030396843794733286
7;0.00032579750404693186;0.00031600002;0.00030800176318734884
8;0.0002185058983741328;9.9856006e-05;0.00019013654673472047
9;0.0002090839116135612;9.9856006e-05;0.00018317083595320582
10;0.0001786925276974216;3.1554497e-05;0.00016925338422879577
11;0.00017539037798997015;3.1554497e-05;0.00016590827726759017
12;0.00016621366376057267;1e-05;0.0001587031438248232
13;0.00016517180483788252;1e-05;0.00015770104073453695
14;0.0001642315328354016;1e-05;0.00015728917787782848
15;0.00016334603424184024;1e-05;0.0001574540656292811
16;0.00016257993411272764;1e-05;0.00015334351337514818
17;0.0001616150257177651;1e-05;0.0001557601208332926
18;0.0001606387522770092;1e-05;0.00015200473717413843
19;0.00016006844816729426;1e-05;0.0001533003814984113
20;0.00015910950605757535;1e-05;0.00015111071115825325
21;0.00015845145389903337;1e-05;0.00015124848869163543
22;0.00015749406884424388;1e-05;0.0001501996157458052
23;0.00015692642773501575;1e-05;0.00014948494208510965
24;0.00015614893345627934;1e-05;0.00015300152881536633
